time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/kl_divergence_loss,train/policy_objective,train/n_updates,train/learning_rate,train/value_loss,train/explained_variance,train/is_line_search_success,eval/mean_ep_length,eval/mean_reward
276,128,0,-136.92408,26.0,1,,,,,,,,,
568,256,0,-206.119168,38.75,2,0.0038752092514187098,0.20074008405208588,1,0.001,3127.963232421875,5.125999450683594e-06,1.0,,
838,384,0,-214.8831444285714,39.57142857142857,3,0.0033859717659652233,0.19616074860095978,2,0.001,3082.565087890625,-0.00011932849884033203,1.0,,
,512,,,,,0.003756176680326462,0.1779579520225525,3,0.001,2234.1983642578125,0.0004792213439941406,1.0,57.6,-183.45780059999998
1916,512,0,-228.10883400000003,41.4,4,,,,,,,,,
2185,640,0,-219.04722272727275,40.27272727272727,5,0.0036115264520049095,0.18459489941596985,4,0.001,3401.615869140625,0.00014019012451171875,1.0,,
2461,768,0,-253.96938392307695,45.76923076923077,6,0.003717221552506089,0.1968408226966858,5,0.001,3258.357080078125,0.00012534856796264648,1.0,,
2753,896,0,-265.44225950000003,48.5,7,0.003665332915261388,0.17332224547863007,6,0.001,3095.279833984375,-3.0994415283203125e-06,1.0,,
,1024,,,,,0.0034993039444088936,0.1633957475423813,7,0.001,2983.1566650390623,1.0788440704345703e-05,1.0,94.8,-167.7008672
3828,1024,0,-268.3579233333333,48.833333333333336,8,,,,,,,,,
4120,1152,0,-274.24861009523806,49.76190476190476,9,0.0036689441185444593,0.1715897172689438,8,0.001,2768.24453125,3.647804260253906e-05,1.0,,
4403,1280,0,-275.3148735652174,49.869565217391305,10,0.0036943848244845867,0.16644597053527832,9,0.001,2734.6590576171875,1.0013580322265625e-05,1.0,,
4701,1408,0,-286.47768640000004,51.88,11,0.003841843456029892,0.21269404888153076,10,0.001,2731.5708740234377,5.900859832763672e-06,1.0,,
,1536,,,,,0.0033222800120711327,0.16778206825256348,11,0.001,2402.8133056640627,-1.0371208190917969e-05,1.0,61.6,-182.023367
5790,1536,0,-289.17999866666673,53.370370370370374,12,,,,,,,,,
6080,1664,0,-294.69714862068963,53.827586206896555,13,0.0037131947465240955,0.1821414828300476,12,0.001,3493.9889404296873,-1.2755393981933594e-05,1.0,,
6371,1792,0,-281.43228134375,51.5,14,0.003550340887159109,0.1787378489971161,13,0.001,3055.7080078125,2.8014183044433594e-06,1.0,,
6671,1920,0,-283.8962650857143,51.91428571428571,15,0.0037013425026088953,0.1806626319885254,14,0.001,2359.7488525390627,-1.8358230590820312e-05,1.0,,
,2048,,,,,0.0034967600367963314,0.18115036189556122,15,0.001,3597.271630859375,-2.2649765014648438e-06,1.0,60.6,-182.6587758
7724,2048,0,-276.2471182368421,50.28947368421053,16,,,,,,,,,
8010,2176,0,-269.30321424390246,49.31707317073171,17,0.003813768271356821,0.2077876776456833,16,0.001,2377.342236328125,-1.1324882507324219e-05,1.0,,
8290,2304,0,-267.2090352222222,48.68888888888889,18,0.004041225183755159,0.1940585970878601,17,0.001,2981.5861328125,-5.841255187988281e-06,1.0,,
8570,2432,0,-267.72576351063833,48.765957446808514,19,0.003968902863562107,0.19394585490226746,18,0.001,2335.877490234375,2.562999725341797e-06,1.0,,
,2560,,,,,0.003567963605746627,0.17899233102798462,19,0.001,2608.336572265625,-8.344650268554688e-06,1.0,389.4,-182.56242260000002
9752,2560,0,-269.61139944897957,49.38775510204081,20,,,,,,,,,
10029,2688,0,-271.3034149215686,49.86274509803921,21,0.003784898668527603,0.20248043537139893,20,0.001,2943.474169921875,3.4570693969726562e-06,1.0,,
10296,2816,0,-261.25888163157896,48.175438596491226,22,0.0038988948799669743,0.1731245070695877,21,0.001,3084.28232421875,-6.556510925292969e-06,1.0,,
10556,2944,0,-261.25888163157896,48.175438596491226,23,0.003750100964680314,0.18907146155834198,22,0.001,1737.2495483398438,-7.748603820800781e-06,1.0,,
,3072,,,,,0.0050770980305969715,0.20141085982322693,23,0.001,4034.707666015625,-1.71661376953125e-05,1.0,397.6,-204.4760818
11725,3072,0,-264.16167474576275,48.83050847457627,24,,,,,,,,,
11976,3200,0,-269.58233367213114,49.83606557377049,25,0.0035262112505733967,0.19864173233509064,24,0.001,2846.0080322265626,-9.179115295410156e-06,1.0,,
