time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/approx_kl,train/loss,train/entropy_loss,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/clip_fraction,train/clip_range,eval/mean_ep_length,eval/mean_reward
,5632,,,,,0.018597957,882.5648193359375,-10.022491502761842,1664.0953369140625,-6.318092346191406e-06,-0.055833318084478376,430,0.0003,0.10703125,0.2,400.0,-181.1073836
21113,5632,0,-241.49165660999998,51.4,44,,,,,,,,,,,,
21335,5760,0,-241.49165660999998,51.4,45,0.020998746,583.3320922851562,-10.029609823226929,1127.3956451416016,-2.1338462829589844e-05,-0.055648965388536455,440,0.0003,0.1140625,0.2,,
21573,5888,0,-240.82149838999993,51.95,46,0.011981065,1068.598388671875,-10.022016239166259,2059.5559631347655,-3.337860107421875e-06,-0.04093278949148953,450,0.0003,0.04140625,0.2,,
21797,6016,0,-234.46438736,51.19,47,0.023446655,704.8670043945312,-9.994603300094605,1262.534130859375,-4.5299530029296875e-06,-0.05705731380730868,460,0.0003,0.146875,0.2,,
,6144,,,,,0.013432587,732.6143798828125,-9.969520235061646,1597.062451171875,-1.2040138244628906e-05,-0.04626079658046365,470,0.0003,0.0671875,0.2,400.0,-181.3180542
22943,6144,0,-234.69991761,51.32,48,,,,,,,,,,,,
23180,6272,0,-234.37476524000002,51.84,49,0.013241248,1162.815185546875,-9.965897703170777,2299.464013671875,-1.2755393981933594e-05,-0.043574556801468135,480,0.0003,0.05859375,0.2,,
23425,6400,0,-232.22341508999997,51.55,50,0.023801193,930.62451171875,-9.94771604537964,1743.1347106933595,-1.9073486328125e-06,-0.05803531468845904,490,0.0003,0.13671875,0.2,,
23665,6528,0,-231.04651718999997,51.82,51,0.01733927,707.3793334960938,-9.892406988143922,1345.1432312011718,-6.9141387939453125e-06,-0.052744108252227306,500,0.0003,0.0875,0.2,,
,6656,,,,,0.019696232,697.3905639648438,-9.840825176239013,1341.2574279785156,-5.0067901611328125e-06,-0.0546109801158309,510,0.0003,0.11640625,0.2,400.0,-180.7332126
24819,6656,0,-221.13197694,50.07,52,,,,,,,,,,,,
25045,6784,0,-219.97091545,50.22,53,0.027507056,486.3960876464844,-9.855119371414185,1014.5794982910156,-1.0728836059570312e-05,-0.0643620383925736,520,0.0003,0.15234375,0.2,,
25264,6912,0,-216.41272837999998,49.93,54,0.018778369,591.2477416992188,-9.888526010513306,1389.899237060547,-3.4570693969726562e-06,-0.04838661132380366,530,0.0003,0.10859375,0.2,,
25457,7040,0,-213.90698857999993,49.54,55,0.025179427,570.3154907226562,-9.897141981124879,1110.261441040039,-5.125999450683594e-06,-0.05681237690150738,540,0.0003,0.15078125,0.2,,
,7168,,,,,0.027391877,541.54736328125,-9.921131324768066,1072.158395385742,-1.1086463928222656e-05,-0.06105664800852537,550,0.0003,0.16640625,0.2,200.0,-180.73446859999999
26515,7168,0,-216.35499350999999,50.66,56,,,,,,,,,,,,
26745,7296,0,-213.43911465000002,50.18,57,0.022326693,795.6393432617188,-9.882864093780517,1556.678857421875,-6.318092346191406e-06,-0.057962898444384334,560,0.0003,0.134375,0.2,,
26961,7424,0,-215.04774218,50.9,58,0.013543021,872.4288330078125,-9.883559465408325,1715.1369262695312,-1.5497207641601562e-06,-0.045326751098036765,570,0.0003,0.0625,0.2,,
27170,7552,0,-215.59469252000002,51.4,59,0.02162713,529.2887573242188,-9.87889804840088,1195.0706665039063,-8.344650268554688e-07,-0.053696645563468336,580,0.0003,0.125,0.2,,
,7680,,,,,0.017029598,614.607666015625,-9.889230251312256,1157.0642578125,-4.887580871582031e-06,-0.04655808815732598,590,0.0003,0.096875,0.2,200.0,-181.4413566
28212,7680,0,-212.57762809,51.1,60,,,,,,,,,,,,
