time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/n_updates,train/explained_variance,train/learning_rate,train/is_line_search_success,train/kl_divergence_loss,train/value_loss,train/policy_objective,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
16209,2944,0,46,45,2.568960189819336e-05,0.0003,1.0,0.005443780682981014,670.2533630371094,0.21449796855449677,63.27272727272727,-310.61933065909096,,
16394,3008,0,47,46,-6.556510925292969e-06,0.0003,1.0,0.005295099224895239,649.22705078125,0.21374842524528503,64.04444444444445,-311.75107495555557,,
,3072,,,47,8.106231689453125e-06,0.0003,1.0,0.005511307157576084,586.7281616210937,0.21406227350234985,,,-182.67991120000002,400.0
17933,3072,0,48,,,,,,,,64.04444444444445,-311.75107495555557,,
18110,3136,0,49,48,1.0669231414794922e-05,0.0003,1.0,0.005217083729803562,606.4664428710937,0.21032509207725525,64.78260869565217,-312.5296460434783,,
18309,3200,0,50,49,1.2218952178955078e-05,0.0003,1.0,0.005261165089905262,745.0841979980469,0.21747438609600067,64.78260869565217,-312.5296460434783,,
18465,3264,0,51,50,2.0265579223632812e-05,0.0003,1.0,0.005212663672864437,880.2330383300781,0.20640462636947632,64.78260869565217,-312.5296460434783,,
18646,3328,0,52,51,8.940696716308594e-06,0.0003,1.0,0.005288567394018173,791.6090698242188,0.20476751029491425,65.0204081632653,-309.45675416326526,,
18820,3392,0,53,52,9.179115295410156e-06,0.0003,1.0,0.0056238058023154736,919.173583984375,0.21716584265232086,65.0204081632653,-309.45675416326526,,
18974,3456,0,54,53,1.3828277587890625e-05,0.0003,1.0,0.005115882493555546,759.4405517578125,0.2102128267288208,65.86,-310.0340523,,
19150,3520,0,55,54,4.2557716369628906e-05,0.0003,1.0,0.006316633429378271,398.04014587402344,0.2328970581293106,66.43137254901961,-311.50810862745095,,
,3584,,,55,3.4749507904052734e-05,0.0003,1.0,0.0055540259927511215,266.78330383300784,0.21255582571029663,,,-183.7080982,400.0
20719,3584,0,56,,,,,,,,65.76923076923077,-307.0219992115384,,
20880,3648,0,57,56,4.887580871582031e-06,0.0003,1.0,0.006340517196804285,890.4274658203125,0.22354623675346375,65.76923076923077,-307.0219992115384,,
21084,3712,0,58,57,3.045797348022461e-05,0.0003,1.0,0.0057781231589615345,664.9996643066406,0.20258444547653198,66.30188679245283,-307.4600238867924,,
21243,3776,0,59,58,3.5762786865234375e-07,0.0003,1.0,0.006127471104264259,840.3196838378906,0.22032374143600464,67.01851851851852,-308.25665031481475,,
21424,3840,0,60,59,2.4199485778808594e-05,0.0003,1.0,0.006628717295825481,340.52935180664065,0.20969276130199432,67.01851851851852,-308.25665031481475,,
21590,3904,0,61,60,3.635883331298828e-06,0.0003,1.0,0.0060851965099573135,890.1650817871093,0.20476141571998596,67.50909090909092,-309.1194823454545,,
21722,3968,0,62,61,2.765655517578125e-05,0.0003,1.0,0.005985389929264784,412.13901672363284,0.22010460495948792,68.0,-306.75170766666673,,
21870,4032,0,63,62,2.2172927856445312e-05,0.0003,1.0,0.006111775524914265,334.2314453125,0.22652631998062134,68.0,-306.75170766666673,,
,4096,,,63,4.863739013671875e-05,0.0003,1.0,0.005614911206066608,339.3306884765625,0.23825623095035553,,,-183.358203,400.0
23394,4096,0,64,,,,,,,,68.0,-306.75170766666673,,
23547,4160,0,65,64,-1.4185905456542969e-05,0.0003,1.0,0.005436594597995281,415.9477142333984,0.21139198541641235,68.2542372881356,-303.995906661017,,
23739,4224,0,66,65,2.384185791015625e-06,0.0003,1.0,0.006323117297142744,250.9980224609375,0.21177533268928528,68.4,-302.05663735,,
23904,4288,0,67,66,-5.245208740234375e-06,0.0003,1.0,0.006621825508773327,638.9800659179688,0.22899755835533142,68.52459016393442,-300.8664830655738,,
24043,4352,0,68,67,-2.2649765014648438e-06,0.0003,1.0,0.006723311264067888,530.198828125,0.2232726365327835,68.52459016393442,-300.8664830655738,,
24179,4416,0,69,68,-7.867813110351562e-06,0.0003,1.0,0.00644501019269228,398.76166076660155,0.2157214879989624,68.52459016393442,-300.8664830655738,,
24318,4480,0,70,69,-2.6226043701171875e-06,0.0003,1.0,0.005325078032910824,405.6632110595703,0.18950515985488892,68.30645161290323,-299.2148567580645,,
24456,4544,0,71,70,-2.396106719970703e-05,0.0003,1.0,0.006126590073108673,382.9079559326172,0.23502956330776215,68.73015873015873,-298.47837215873017,,
,4608,,,71,-2.4080276489257812e-05,0.0003,1.0,0.006233656778931618,372.1816436767578,0.21565203368663788,,,-184.023409,400.0
25970,4608,0,72,,,,,,,,68.73015873015873,-298.47837215873017,,
26127,4672,0,73,72,1.901388168334961e-05,0.0003,1.0,0.005905539728701115,530.8219970703125,0.1976439207792282,70.41538461538461,-300.3054112307692,,
26264,4736,0,74,73,-1.2516975402832031e-05,0.0003,1.0,0.00506597850471735,261.20521545410156,0.2356182485818863,70.41538461538461,-300.3054112307692,,
26426,4800,0,75,74,-5.245208740234375e-06,0.0003,1.0,0.00577776413410902,344.3277069091797,0.20809738337993622,70.41538461538461,-300.3054112307692,,
26579,4864,0,76,75,5.364418029785156e-07,0.0003,1.0,0.006059973035007715,676.4088439941406,0.16901448369026184,70.56060606060606,-299.0233922878788,,
26708,4928,0,77,76,-2.968311309814453e-05,0.0003,1.0,0.0056373984552919865,328.35105895996094,0.22157225012779236,70.56060606060606,-299.0233922878788,,
26827,4992,0,78,77,1.1920928955078125e-07,0.0003,1.0,0.006231492850929499,235.99463500976563,0.18912896513938904,71.23529411764706,-297.817396367647,,
26961,5056,0,79,78,-1.633167266845703e-05,0.0003,1.0,0.0061911726370453835,201.9779541015625,0.22554434835910797,71.23529411764706,-297.817396367647,,
