time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,train/value_loss,train/n_updates,train/is_line_search_success,train/learning_rate,train/kl_divergence_loss,train/explained_variance,train/policy_objective,eval/mean_reward,eval/mean_ep_length
4352,-295.4382646125,34,0,53.175,15839,2873.1508056640623,33,1.0,0.001,0.0003452901146374643,-5.9604644775390625e-06,0.06040631979703903,,
4480,-295.1928194146342,35,0,53.0,16103,3336.8261474609376,34,1.0,0.001,0.00035883625969290733,-4.172325134277344e-06,0.05729301646351814,,
4608,,,,,,3434.096484375,35,1.0,0.001,0.0003370576014276594,-3.6954879760742188e-06,0.05867266654968262,-179.7480142,393.8
4608,-296.3728577228916,36,0,53.24096385542169,17262,,,,,,,,,
4736,-296.79469408139533,37,0,53.31395348837209,17535,2811.640673828125,36,1.0,0.001,0.0003261217207182199,-1.0728836059570312e-06,0.057864028960466385,,
4864,-296.3872182777778,38,0,53.41111111111111,17805,2647.0251220703126,37,1.0,0.001,0.00034433254040777683,-3.814697265625e-06,0.05397637188434601,,
4992,-294.0335886521739,39,0,53.119565217391305,18089,1372.2737182617188,38,1.0,0.001,0.0003005868347827345,-8.344650268554688e-06,0.05667980760335922,,
5120,,,,,,2968.3629150390625,39,1.0,0.001,0.0003582702483981848,-4.76837158203125e-06,0.05520373955368996,-180.7581138,397.4
5120,-291.887662768421,40,0,52.82105263157895,19269,,,,,,,,,
5248,-293.62056409375003,41,0,53.072916666666664,19508,2432.7343017578123,40,1.0,0.001,0.00037707076990045607,-3.2186508178710938e-06,0.05846378207206726,,
5376,-294.1825701020408,42,0,53.265306122448976,19777,3171.9402587890627,41,1.0,0.001,0.0003611367428675294,-4.76837158203125e-07,0.048197485506534576,,
5504,-296.32297504,43,0,53.71,20056,2537.2933349609375,42,1.0,0.001,0.0003236830234527588,-2.0265579223632812e-06,0.057395704090595245,,
5632,,,,,,2961.739208984375,43,1.0,0.001,0.0003375599335413426,-2.5033950805664062e-06,0.055510491132736206,-180.23840180000002,397.8
5632,-297.54948770000004,44,0,54.01,21239,,,,,,,,,
5760,-298.68074745,45,0,54.21,21524,2518.5819091796875,44,1.0,0.001,0.00036024802830070257,-5.0067901611328125e-06,0.059828463941812515,,
5888,-301.25289424,46,0,54.75,21804,2764.7277099609373,45,1.0,0.001,0.0003502813633531332,-2.86102294921875e-06,0.06050506979227066,,
6016,-304.61794811,47,0,55.31,22068,4325.07490234375,46,1.0,0.001,0.00036699147312901914,2.384185791015625e-07,0.06055349111557007,,
6144,,,,,,1504.8885009765625,47,1.0,0.001,0.00035478261997923255,1.2516975402832031e-06,0.054994553327560425,-180.33289419999997,397.4
6144,-301.69880458,48,0,54.79,23240,,,,,,,,,
