time/fps,train/adaptive_beta,time/total_timesteps,time/iterations,time/time_elapsed,train/approx_kl,train/explained_variance,train/learning_rate,train/loss,rollout/ep_rew_mean,train/n_updates,train/clip_fraction,train/entropy_loss,train/clip_range,rollout/ep_len_mean,train/policy_gradient_loss,train/value_loss,eval/mean_reward,eval/mean_ep_length
0,0.5,2880,45,16701,0.007374687,-0.0003606081008911133,0.0003,354.7691955566406,-244.64292160344826,440,0.015625,-10.289222049713135,0.2,48.258620689655174,-0.03832932859659195,723.7552185058594,,
0,0.5,2944,46,16899,0.0034485376,0.00020176172256469727,0.0003,821.0869750976562,-244.64292160344826,450,0.0015625,-10.284308624267577,0.2,48.258620689655174,-0.019701203145086766,1658.7069580078125,,
0,0.5,3008,47,17113,0.0031973356,-1.3828277587890625e-05,0.0003,641.4227905273438,-244.64292160344826,460,0.003125,-10.287979888916016,0.2,48.258620689655174,-0.01942759267985821,1299.2903198242188,,
,0.5,3072,,,0.003971164,-1.5497207641601562e-05,0.0003,729.5336303710938,,470,0.003125,-10.300889587402343,0.2,,-0.024319490045309068,1475.7908935546875,-183.535629,200.0
0,0.5,3072,48,18670,,,,,-245.54894988135592,,,,,48.57627118644068,,,,
0,0.5,3136,49,18866,0.0036550444,-0.00010502338409423828,0.0003,602.1085815429688,-251.22685529508198,480,0.003125,-10.3091609954834,0.2,49.540983606557376,-0.02653608750551939,1219.7992919921876,,
0,0.5,3200,50,19077,0.0041067638,-0.00018143653869628906,0.0003,437.1781311035156,-254.082648516129,490,0.0,-10.306594181060792,0.2,50.145161290322584,-0.02749602273106575,889.11728515625,,
0,0.5,3264,51,19273,0.004099725,1.8715858459472656e-05,0.0003,841.766845703125,-254.082648516129,500,0.0,-10.29873342514038,0.2,50.145161290322584,-0.026823663525283335,1700.3009399414063,,
0,0.5,3328,52,19502,0.0032856883,-5.8531761169433594e-05,0.0003,586.9735717773438,-250.44797428125,510,0.0046875,-10.290439414978028,0.2,49.453125,-0.024297141283750535,1190.102685546875,,
0,0.5,3392,53,19715,0.004816558,7.450580596923828e-06,0.0003,672.8275756835938,-253.33117604615381,520,0.009375,-10.289542293548584,0.2,49.93846153846154,-0.029524238593876363,1361.0766235351562,,
0,0.5,3456,54,19947,0.0028446596,3.7670135498046875e-05,0.0003,663.2957153320312,-255.49099456060603,530,0.0,-10.281207942962647,0.2,50.42424242424242,-0.02086311150342226,1342.5105102539062,,
0,0.5,3520,55,20154,0.0024625137,-3.6954879760742188e-06,0.0003,765.1925048828125,-255.49099456060603,540,0.0,-10.274743270874023,0.2,50.42424242424242,-0.019759613275527953,1546.960009765625,,
,0.5,3584,,,0.0022956245,-0.00014281272888183594,0.0003,631.0078735351562,,550,0.0,-10.27497148513794,0.2,,-0.019402829743921757,1278.1102416992187,-183.4628552,100.0
0,0.5,3584,56,21705,,,,,-257.5288252686567,,,,,50.95522388059702,,,,
0,0.5,3648,57,21925,0.005660685,3.516674041748047e-06,0.0003,617.1395263671875,-255.31064084057968,560,0.0046875,-10.276594638824463,0.2,50.52173913043478,-0.0324845178052783,1250.306689453125,,
0,0.5,3712,58,22119,0.0032865573,-9.226799011230469e-05,0.0003,559.6747436523438,-259.390721,570,0.003125,-10.275843620300293,0.2,51.225352112676056,-0.019320472702383996,1134.3633911132813,,
