time/fps,train/adaptive_beta,time/total_timesteps,time/iterations,time/time_elapsed,train/approx_kl,train/explained_variance,train/learning_rate,train/loss,rollout/ep_rew_mean,train/n_updates,train/clip_fraction,train/entropy_loss,train/clip_range,rollout/ep_len_mean,train/policy_gradient_loss,train/value_loss,eval/mean_reward,eval/mean_ep_length
0,0.5,3136,49,18989,0.006938655,1.7881393432617188e-07,0.0003,636.4730834960938,-297.7501359019608,480,0.015625,-10.304703617095948,0.2,58.294117647058826,-0.03558970186859369,1288.5503662109375,,
0,0.5,3200,50,19203,0.0077307215,5.960464477539063e-08,0.0003,532.5803833007812,-297.4093819245283,490,0.025,-10.30312671661377,0.2,58.22641509433962,-0.03827541498467326,1080.1538330078124,,
0,0.5,3264,51,19402,0.0064541297,0.0,0.0003,746.8019409179688,-299.69135368518516,500,0.009375,-10.293951416015625,0.2,58.55555555555556,-0.029382944107055664,1509.637744140625,,
0,0.5,3328,52,19637,0.004988781,0.0,0.0003,646.58349609375,-298.4321071090909,510,0.0109375,-10.28745002746582,0.2,58.30909090909091,-0.033097267150878906,1309.1203735351562,,
0,0.5,3392,53,19844,0.0067781815,0.0,0.0003,756.76025390625,-298.4321071090909,520,0.0140625,-10.279281711578369,0.2,58.30909090909091,-0.03270499585196376,1529.4005004882813,,
0,0.5,3456,54,20072,0.005641564,0.0,0.0003,650.6377563476562,-296.1990308965517,530,0.0046875,-10.262890338897705,0.2,57.93103448275862,-0.03051800224930048,1317.2349243164062,,
0,0.5,3520,55,20269,0.008491711,1.1920928955078125e-07,0.0003,602.3499145507812,-296.1990308965517,540,0.025,-10.262212371826172,0.2,57.93103448275862,-0.03593476843088865,1219.8806884765625,,
,0.5,3584,,,0.0065121334,-1.1920928955078125e-07,0.0003,560.8890991210938,,550,0.01875,-10.254362297058105,0.2,,-0.030953958071768282,1137.44951171875,-189.23291060000003,100.0
0,0.5,3584,56,21822,,,,,-296.6401918666666,,,,,58.15,,,,
0,0.5,3648,57,22038,0.009057805,0.0,0.0003,443.84149169921875,-295.5137239180327,560,0.03125,-10.255100631713868,0.2,57.967213114754095,-0.03588501382619143,902.2705139160156,,
0,0.5,3712,58,22234,0.005353911,1.1920928955078125e-07,0.0003,605.10498046875,-294.8846934285714,570,0.0140625,-10.265338897705078,0.2,57.73015873015873,-0.022387331165373326,1225.5454223632812,,
0,0.5,3776,59,22463,0.005607049,0.0,0.0003,552.5078735351562,-294.312606203125,580,0.003125,-10.273283767700196,0.2,57.65625,-0.02825923599302769,1120.1611450195312,,
0,0.5,3840,60,22697,0.004743875,1.1920928955078125e-07,0.0003,897.7811889648438,-292.5861580615384,590,0.0078125,-10.27687873840332,0.2,57.246153846153845,-0.026335053145885468,1812.0918823242187,,
0,0.5,3904,61,22915,0.0074568735,1.1920928955078125e-07,0.0003,740.1351928710938,-292.5861580615384,600,0.0203125,-10.279382133483887,0.2,57.246153846153845,-0.033233151957392695,1496.085693359375,,
