time/fps,train/adaptive_beta,time/total_timesteps,time/iterations,time/time_elapsed,train/n_updates,train/approx_kl,train/clip_fraction,train/entropy_loss,train/explained_variance,train/learning_rate,train/clip_range,train/loss,train/policy_gradient_loss,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length
0,0.5,64,1,206,,,,,,,,,,,,,,
0,0.5,128,2,442,10,0.010991561,0.0375,-10.35462818145752,0.00038254261016845703,0.0003,0.2,872.934814453125,-0.05405360981822014,1791.2345825195312,,,,
0,0.5,192,3,673,20,0.0063216295,0.0078125,-10.345802593231202,-0.0002688169479370117,0.0003,0.2,815.8215942382812,-0.03179143238812685,1675.4172119140626,-209.200994,43.0,,
0,0.5,256,4,892,30,0.004069793,0.0,-10.33769702911377,-0.0005953311920166016,0.0003,0.2,864.2410888671875,-0.024845614656805994,1766.8910278320313,-209.200994,43.0,,
0,0.5,320,5,1101,40,0.006945203,0.0046875,-10.336477375030517,3.3855438232421875e-05,0.0003,0.2,829.2437744140625,-0.033499317988753316,1697.1906127929688,-373.6741095,66.25,,
0,0.5,384,6,1334,50,0.005922013,0.003125,-10.331270790100097,0.00035244226455688477,0.0003,0.2,415.18017578125,-0.03244257941842079,857.2734924316406,-373.6741095,66.25,,
0,0.5,448,7,1538,60,0.009937353,0.0328125,-10.318674182891845,0.00010275840759277344,0.0003,0.2,845.60107421875,-0.038826416991651055,1722.5592041015625,-373.6741095,66.25,,
,0.5,512,,,70,0.0034600105,0.0,-10.307494640350342,0.00021207332611083984,0.0003,0.2,990.1317749023438,-0.023242511227726935,2010.8363159179687,,,-626.8925588,400.0
0,0.5,512,8,3142,,,,,,,,,,,-368.4657261666666,64.83333333333333,,
0,0.5,576,9,3374,80,0.0058770506,0.00625,-10.308351707458495,0.0006124377250671387,0.0003,0.2,508.56561279296875,-0.032144290208816526,1039.0687133789063,-325.43582,57.42857142857143,,
0,0.5,640,10,3597,90,0.003846649,0.0078125,-10.308867263793946,0.0002695918083190918,0.0003,0.2,875.7637329101562,-0.020834253169596195,1774.9829956054687,-353.5063282222222,62.44444444444444,,
0,0.5,704,11,3842,100,0.005255116,0.0046875,-10.314141941070556,7.289648056030273e-05,0.0003,0.2,692.8514404296875,-0.026984189078211783,1406.0375122070313,-344.2334797,60.7,,
0,0.5,768,12,4047,110,0.004428098,0.0046875,-10.316316699981689,0.0005016326904296875,0.0003,0.2,660.70166015625,-0.02091493122279644,1340.210693359375,-344.2334797,60.7,,
0,0.5,832,13,4270,120,0.0039786547,0.0015625,-10.317076492309571,-1.7881393432617188e-05,0.0003,0.2,774.2469482421875,-0.020646920520812274,1567.9405395507813,-346.50375775,61.916666666666664,,
0,0.5,896,14,4511,130,0.0047486788,0.003125,-10.315942859649658,0.00023609399795532227,0.0003,0.2,510.0547180175781,-0.02862830422818661,1037.36298828125,-346.50375775,61.916666666666664,,
0,0.5,960,15,4721,140,0.0043412894,0.0,-10.311617469787597,8.285045623779297e-06,0.0003,0.2,1016.7367553710938,-0.025597253628075124,2053.3239013671873,-353.9755414615384,63.30769230769231,,
,0.5,1024,,,150,0.0049108434,0.0046875,-10.30627374649048,-1.239776611328125e-05,0.0003,0.2,618.4494018554688,-0.027103371545672418,1254.2789672851563,,,-183.36909659999998,400.0
0,0.5,1024,16,6320,,,,,,,,,,,-357.3041455714285,64.21428571428571,,
0,0.5,1088,17,6555,160,0.004345037,0.003125,-10.30480899810791,-7.152557373046875e-07,0.0003,0.2,734.0045776367188,-0.020611326862126588,1485.6659912109376,-357.3041455714285,64.21428571428571,,
0,0.5,1152,18,6777,170,0.0059108036,0.0109375,-10.299725818634034,2.4437904357910156e-06,0.0003,0.2,1145.295166015625,-0.029634013213217257,2310.195263671875,-365.548082625,65.625,,
0,0.5,1216,19,6995,180,0.005197157,0.00625,-10.292667675018311,-2.0384788513183594e-05,0.0003,0.2,516.6172485351562,-0.02738390229642391,1049.4598022460937,-365.548082625,65.625,,
0,0.5,1280,20,7199,190,0.0058045806,0.0140625,-10.284944820404053,7.748603820800781e-06,0.0003,0.2,892.7222290039062,-0.027641427144408225,1803.6633666992188,-351.25885829411766,63.35294117647059,,
0,0.5,1344,21,7403,200,0.0064862957,0.015625,-10.286584281921387,0.0002257227897644043,0.0003,0.2,495.3985595703125,-0.029745280370116235,1006.6748779296875,-340.43736052380956,61.61904761904762,,
0,0.5,1408,22,7629,210,0.016827503,0.084375,-10.29648199081421,0.0002523064613342285,0.0003,0.2,308.8721618652344,-0.05649566780775785,632.2657104492188,-340.43736052380956,61.61904761904762,,
0,0.5,1472,23,7852,220,0.0061551947,0.0125,-10.296685981750489,0.00017195940017700195,0.0003,0.2,845.4425659179688,-0.026032372564077377,1709.110205078125,-333.0593381363637,60.90909090909091,,
,0.5,1536,,,230,0.0040088817,0.0046875,-10.293170261383057,0.0002334117889404297,0.0003,0.2,855.9693603515625,-0.024659207183867694,1730.55673828125,,,-185.53863180000002,58.0
0,0.5,1536,24,9372,,,,,,,,,,,-333.0593381363637,60.90909090909091,,
0,0.5,1600,25,9618,240,0.005035091,0.00625,-10.29112663269043,3.516674041748047e-06,0.0003,0.2,973.321533203125,-0.027898412942886353,1966.552490234375,-337.61380047826094,61.391304347826086,,
0,0.5,1664,26,9837,250,0.004776924,0.00625,-10.293532276153565,-1.6689300537109375e-06,0.0003,0.2,986.07568359375,-0.026133202016353607,1990.9040161132812,-346.10760448,62.4,,
0,0.5,1728,27,10048,260,0.005374266,0.0,-10.28843069076538,-4.5299530029296875e-06,0.0003,0.2,584.2001342773438,-0.029173640348017216,1184.8290771484376,-346.10760448,62.4,,
0,0.5,1792,28,10283,270,0.0044414895,0.00625,-10.289178466796875,-1.1920928955078125e-07,0.0003,0.2,935.9409790039062,-0.023922049812972544,1889.9530029296875,-339.8427677407407,61.148148148148145,,
0,0.5,1856,29,10469,280,0.0026655532,0.0,-10.29558629989624,3.9517879486083984e-05,0.0003,0.2,636.195556640625,-0.016619983315467834,1288.2973754882812,-340.8082627857143,61.25,,
0,0.5,1920,30,10673,290,0.0070263753,0.0125,-10.303023147583009,8.982419967651367e-05,0.0003,0.2,369.3706359863281,-0.03464929647743702,753.5900024414062,-342.2250044482759,61.86206896551724,,
0,0.5,1984,31,10896,300,0.005355099,0.00625,-10.306983184814452,4.220008850097656e-05,0.0003,0.2,636.0869750976562,-0.026082095690071583,1288.5660766601563,-342.8825410333333,62.46666666666667,,
,0.5,2048,,,310,0.005734197,0.0078125,-10.307782173156738,6.139278411865234e-06,0.0003,0.2,770.3037109375,-0.02996705137193203,1557.5264038085938,,,-314.5357660000001,58.0
0,0.5,2048,32,12450,,,,,,,,,,,-337.1389587741936,61.54838709677419,,
0,0.5,2112,33,12631,320,0.004824755,0.00625,-10.297509765625,6.4373016357421875e-06,0.0003,0.2,664.9536743164062,-0.02353430390357971,1346.0494873046875,-332.18889903030305,61.06060606060606,,
0,0.5,2176,34,12844,330,0.012088041,0.040625,-10.290317058563232,4.172325134277344e-05,0.0003,0.2,326.923828125,-0.04599728435277939,667.9344970703125,-332.18889903030305,61.06060606060606,,
0,0.5,2240,35,13060,340,0.008230027,0.03125,-10.295621967315673,3.361701965332031e-05,0.0003,0.2,599.0813598632812,-0.03143607042729855,1214.251123046875,-328.7929195,61.05555555555556,,
0,0.5,2304,36,13272,350,0.007719747,0.01875,-10.297616958618164,2.110004425048828e-05,0.0003,0.2,360.0115051269531,-0.033722068183124065,734.3000305175781,-328.7929195,61.05555555555556,,
0,0.5,2368,37,13495,360,0.0044703037,0.0046875,-10.294316864013672,6.198883056640625e-06,0.0003,0.2,702.7805786132812,-0.022161936666816474,1422.0803100585938,-328.7929195,61.05555555555556,,
0,0.5,2432,38,13722,370,0.0057289125,0.0109375,-10.287299346923827,-7.152557373046875e-06,0.0003,0.2,795.9893188476562,-0.03422414623200894,1608.921875,-325.07707191891893,60.45945945945946,,
0,0.5,2496,39,13914,380,0.005205229,0.0015625,-10.286616325378418,7.092952728271484e-06,0.0003,0.2,888.0211181640625,-0.028186697140336038,1793.0933349609375,-326.26865723684216,61.05263157894737,,
,0.5,2560,,,390,0.007076727,0.0078125,-10.28858642578125,1.3828277587890625e-05,0.0003,0.2,527.5678100585938,-0.029494278505444525,1070.6667724609374,,,-183.9176258,134.0
0,0.5,2560,40,15466,,,,,,,,,,,-331.172954325,61.925,,
0,0.5,2624,41,15682,400,0.00928911,0.021875,-10.294913482666015,1.4066696166992188e-05,0.0003,0.2,495.0931396484375,-0.03388405218720436,1004.9232116699219,-331.172954325,61.925,,
0,0.5,2688,42,15905,410,0.003816992,0.003125,-10.291246509552002,6.079673767089844e-06,0.0003,0.2,767.635498046875,-0.01707145757973194,1551.7976928710937,-330.13444304878044,61.75609756097561,,
0,0.5,2752,43,16126,420,0.0029647723,0.0015625,-10.283454418182373,-7.152557373046875e-06,0.0003,0.2,656.8265991210938,-0.020949496328830718,1329.6297485351563,-327.94532141860464,61.44186046511628,,
0,0.5,2816,44,16337,430,0.0055542495,0.0078125,-10.285876083374024,-8.344650268554688e-07,0.0003,0.2,646.3936157226562,-0.03141974788159132,1308.5668701171876,-315.978816,59.47826086956522,,
0,0.5,2880,45,16559,440,0.01088565,0.0453125,-10.27944211959839,5.304813385009766e-06,0.0003,0.2,295.58575439453125,-0.04117325209081173,604.6698547363281,-311.9757067708333,58.916666666666664,,
0,0.5,2944,46,16760,450,0.0050269905,0.0046875,-10.26607780456543,0.0,0.0003,0.2,846.5787963867188,-0.02501845946535468,1709.424755859375,-311.9757067708333,58.916666666666664,,
0,0.5,3008,47,16981,460,0.0029729921,0.0046875,-10.255930614471435,-2.384185791015625e-07,0.0003,0.2,643.1925048828125,-0.018544243648648262,1302.7136596679688,-311.9757067708333,58.916666666666664,,
,0.5,3072,,,470,0.0049649943,0.003125,-10.268898963928223,-1.7881393432617188e-06,0.0003,0.2,687.45068359375,-0.02437692992389202,1391.3559204101562,,,-60.1995214,400.0
0,0.5,3072,48,18577,,,,,,,,,,,-311.9757067708333,58.916666666666664,,
0,0.5,3136,49,18781,480,0.005535173,0.0046875,-10.282007884979247,-5.960464477539062e-07,0.0003,0.2,667.4968872070312,-0.027040068991482258,1351.3059448242188,-314.2636001836735,59.204081632653065,,
0,0.5,3200,50,18988,490,0.0052908957,0.0046875,-10.277449703216552,4.76837158203125e-07,0.0003,0.2,492.34552001953125,-0.030241606570780278,999.8190307617188,-318.2537769803921,60.1764705882353,,
