time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/n_updates,train/explained_variance,train/learning_rate,train/is_line_search_success,train/kl_divergence_loss,train/value_loss,train/policy_objective,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
24567,4160,0,65,64,1.1920928955078125e-07,0.0003,1.0,0.004975601565092802,1321.6550170898438,0.2844899594783783,60.323076923076925,-299.5135904307692,,
24733,4224,0,66,65,-1.1920928955078125e-07,0.0003,1.0,0.005824477411806583,902.8906921386719,0.24572862684726715,60.323076923076925,-299.5135904307692,,
24906,4288,0,67,66,-1.1920928955078125e-07,0.0003,1.0,0.0051160771399736404,724.5297180175781,0.2925434708595276,60.90909090909091,-301.29647218181816,,
25061,4352,0,68,67,0.0,0.0003,1.0,0.004652076400816441,831.1083312988281,0.26694485545158386,61.88235294117647,-303.7265703088235,,
25226,4416,0,69,68,0.0,0.0003,1.0,0.004725406877696514,416.155322265625,0.28690800070762634,61.72857142857143,-301.35608709999997,,
25403,4480,0,70,69,0.0,0.0003,1.0,0.007801309693604708,721.6364440917969,0.30317422747612,61.29577464788732,-298.3362132535211,,
25577,4544,0,71,70,0.0,0.0003,1.0,0.006160597316920757,560.9481689453125,0.2941076159477234,60.72222222222222,-295.01906830555555,,
,4608,,,71,-1.1920928955078125e-07,0.0003,1.0,0.0053276363760232925,790.8493225097657,0.3288712799549103,,,-182.86432359999998,400.0
27153,4608,0,72,,,,,,,,61.0,-294.91967684931507,,
27344,4672,0,73,72,0.0,0.0003,1.0,0.004889473784714937,875.1341674804687,0.41425108909606934,61.0,-294.91967684931507,,
27527,4736,0,74,73,1.1920928955078125e-07,0.0003,1.0,0.005060115363448858,1036.9049072265625,0.3166254758834839,61.351351351351354,-296.02553964864865,,
27686,4800,0,75,74,0.0,0.0003,1.0,0.005201468709856272,557.6780151367187,0.3368877172470093,61.351351351351354,-296.02553964864865,,
27842,4864,0,76,75,0.0,0.0003,1.0,0.0048136464320123196,923.970166015625,0.280208557844162,61.351351351351354,-296.02553964864865,,
28024,4928,0,77,76,0.0,0.0003,1.0,0.00495576998218894,851.8285034179687,0.2910498082637787,62.46052631578947,-298.3178047631579,,
28171,4992,0,78,77,0.0,0.0003,1.0,0.005358854308724403,808.902587890625,0.3133394122123718,63.06410256410256,-299.26829148717945,,
28353,5056,0,79,78,0.0,0.0003,1.0,0.005249364767223597,518.3927368164062,0.2666027843952179,61.925,-293.08236145,,
