train/adaptive_beta,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/loss,train/value_loss,train/clip_fraction,train/entropy_loss,train/approx_kl,eval/mean_reward,eval/mean_ep_length
0.5,128,-136.92408,1,0,26.0,245,,,,,,,,,,,,
0.5,256,-175.8491205,2,0,34.5,490,10,0.0003,-0.04748241575434804,5.125999450683594e-06,0.2,1658.5198974609375,3187.96123046875,0.02109375,-10.355032396316528,0.008637579,,
0.5,384,-294.29981475,3,0,54.5,730,20,0.0003,-0.02346815075725317,-0.002068161964416504,0.2,1904.6243896484375,3889.45400390625,0.0015625,-10.349846267700196,0.0033993628,,
0.5,512,,,,,,30,0.0003,-0.03280166652984917,0.0005432367324829102,0.2,1414.49658203125,2900.621228027344,0.01015625,-10.346156930923462,0.0065902104,-354.05665899999997,127.2
0.5,512,-307.0177395714286,4,0,54.714285714285715,1675,,,,,,,,,,,,
0.5,640,-278.2357386363636,5,0,49.81818181818182,1937,40,0.0003,-0.030234893690794705,0.0007898807525634766,0.2,1381.5203857421875,2795.697216796875,0.00703125,-10.336520004272462,0.005740276,,
0.5,768,-275.9811044166666,6,0,49.25,2218,50,0.0003,-0.03255858328193426,0.00014126300811767578,0.2,1396.1019287109375,2805.09501953125,0.01875,-10.33014988899231,0.0059021404,,
0.5,896,-291.14021278571425,7,0,51.642857142857146,2503,60,0.0003,-0.026563377771526574,0.00011086463928222656,0.2,2083.90185546875,3593.9765747070314,0.0015625,-10.324974536895752,0.0038889027,,
0.5,1024,,,,,,70,0.0003,-0.030714411102235318,-0.00014925003051757812,0.2,1822.0965576171875,3728.9257934570314,0.01171875,-10.326950359344483,0.006039892,-181.673405,396.8
0.5,1024,-283.78144194444445,8,0,50.77777777777778,3631,,,,,,,,,,,,
0.5,1152,-286.15834715,9,0,51.55,3909,80,0.0003,-0.03421514285728335,-1.0132789611816406e-05,0.2,1052.4146728515625,2235.0770935058595,0.0203125,-10.328132629394531,0.007638831,,
0.5,1280,-292.37274091304346,10,0,52.69565217391305,4170,90,0.0003,-0.03410539869219065,2.0384788513183594e-05,0.2,2082.213134765625,3385.783935546875,0.01484375,-10.325459337234497,0.0077530034,,
0.5,1408,-292.37274091304346,11,0,52.69565217391305,4432,100,0.0003,-0.03908959636464715,-6.783008575439453e-05,0.2,1157.1080322265625,2309.550921630859,0.0265625,-10.326403093338012,0.008515835,,
0.5,1536,,,,,,110,0.0003,-0.023654009168967604,-0.0001380443572998047,0.2,1721.990234375,3520.7101806640626,0.00390625,-10.323067903518677,0.0038554375,-181.6850716,133.4
0.5,1536,-294.42694077777776,12,0,53.666666666666664,5485,,,,,,,,,,,,
0.5,1664,-293.5522823571428,13,0,53.607142857142854,5761,120,0.0003,-0.02740847123786807,-8.821487426757812e-05,0.2,1539.6820068359375,3353.856201171875,0.00625,-10.321740818023681,0.004973696,,
0.5,1792,-289.22615659375,14,0,52.65625,6022,130,0.0003,-0.02080821110866964,-9.21487808227539e-05,0.2,1568.9407958984375,3534.6396240234376,0.0015625,-10.322987127304078,0.0033195163,,
0.5,1920,-290.4728850882352,15,0,53.0,6259,140,0.0003,-0.026969135645776986,-7.295608520507812e-05,0.2,1189.271728515625,2418.071252441406,0.003125,-10.326196670532227,0.004201567,,
0.5,2048,,,,,,150,0.0003,-0.03913320871070027,-0.00012242794036865234,0.2,1150.65625,2402.786541748047,0.02421875,-10.326642608642578,0.008081973,-255.85012360000002,331.6
0.5,2048,-282.67496745945937,16,0,51.91891891891892,7356,,,,,,,,,,,,
0.5,2176,-283.06191694871785,17,0,52.43589743589744,7589,160,0.0003,-0.03125629900023341,9.119510650634766e-06,0.2,1223.593505859375,2475.0140869140623,0.0109375,-10.322014570236206,0.006028098,,
0.5,2304,-283.7131937804878,18,0,53.048780487804876,7848,170,0.0003,-0.036410443298518655,-8.83340835571289e-05,0.2,1063.6595458984375,1912.9281799316407,0.0234375,-10.315103578567506,0.0069147213,,
0.5,2432,-284.08242567441863,19,0,53.2093023255814,8120,180,0.0003,-0.0334486928768456,3.0994415283203125e-06,0.2,1076.99658203125,2499.1298095703123,0.01796875,-10.316039800643921,0.0072621517,,
0.5,2560,,,,,,190,0.0003,-0.025635032169520854,-3.635883331298828e-05,0.2,1592.4835205078125,3268.59130859375,0.0046875,-10.313561391830444,0.004359915,-290.8396594,134.0
0.5,2560,-286.47712480434785,20,0,53.73913043478261,9147,,,,,,,,,,,,
