train/value_loss,train/learning_rate,train/n_updates,train/policy_loss,eval/mean_ep_length,time/total_timesteps,train/entropy_loss,eval/mean_reward,train/explained_variance,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/iterations
66.28740692138672,0.0007,155,22.936979293823242,134.0,19968,-4.141073703765869,-181.98168959999998,-2.9802322387695312e-06,,,,,
67.77388000488281,0.0007,159,15.699621200561523,134.0,20480,-4.074729919433594,-181.72449220000001,-2.384185791015625e-06,,,,,
83.4870376586914,0.0007,163,14.454034805297852,134.0,20992,-4.042245864868164,-182.0538034,-1.6689300537109375e-06,,,,,
103.65400695800781,0.0007,167,-1.5926451683044434,134.0,21504,-3.955932140350342,-182.0184798,1.4901161193847656e-06,,,,,
44.837345123291016,0.0007,171,4.551388740539551,134.0,22016,-3.6528196334838867,-182.12905519999998,8.982419967651367e-05,,,,,
32.011451721191406,0.0007,175,-0.1617368459701538,134.0,22528,-3.2237486839294434,-181.565191,2.09808349609375e-05,,,,,
32.90055847167969,0.0007,179,-0.40419167280197144,134.0,23040,-3.05275821685791,-182.0867438,5.048513412475586e-05,,,,,
20.33068084716797,0.0007,183,7.70854377746582,134.0,23552,-2.975557327270508,-181.43039319999997,0.022014081478118896,,,,,
19.455488204956055,0.0007,187,-1.8746315240859985,134.0,24064,-2.923948049545288,-181.4458148,0.15392667055130005,,,,,
19.234134674072266,0.0007,191,-1.3507277965545654,134.0,24576,-2.775979518890381,-181.63133200000001,0.21207261085510254,,,,,
13.949148178100586,0.0007,195,2.5954506397247314,134.0,25088,-2.6864941120147705,-181.8140672,0.25234711170196533,,,,,
27.371807098388672,0.0007,199,-2.0764827728271484,134.0,25600,-2.6998631954193115,-39.1548064,0.13071352243423462,,,,,
,,,,,25600,,,,0,-10.27992663,7.49,86143,200
28.481468200683594,0.0007,203,-4.478121757507324,134.0,26112,-2.681417465209961,-181.76403420000003,0.1828048825263977,,,,,
16.856346130371094,0.0007,207,-0.4735357463359833,134.0,26624,-2.5167741775512695,-181.91933160000002,0.25227969884872437,,,,,
13.543318748474121,0.0007,211,1.388529896736145,134.0,27136,-2.4971680641174316,-181.71248500000002,0.3462209105491638,,,,,
10.204912185668945,0.0007,215,-1.5113015174865723,134.0,27648,-2.3592939376831055,-181.61248039999998,0.3601589798927307,,,,,
9.71261978149414,0.0007,219,-1.895592212677002,134.0,28160,-2.261385202407837,-181.5302174,0.39276057481765747,,,,,
10.965295791625977,0.0007,223,-1.797659993171692,134.0,28672,-2.192464828491211,-158.59262479999998,0.37756049633026123,,,,,
9.708939552307129,0.0007,227,0.25387799739837646,134.0,29184,-2.2746472358703613,-78.4694332,0.365479052066803,,,,,
6.384193420410156,0.0007,231,0.8125041127204895,108.0,29696,-2.2006711959838867,-26.952115400000004,0.5172358453273773,,,,,
9.587532043457031,0.0007,235,2.1070938110351562,134.0,30208,-2.144427537918091,-28.3334546,0.38339632749557495,,,,,
5.365192413330078,0.0007,239,1.1341807842254639,109.2,30720,-2.0762782096862793,-42.1284046,0.48507511615753174,,,,,
8.44770622253418,0.0007,243,-0.1573265939950943,83.2,31232,-2.1489672660827637,-24.6769056,0.3252403736114502,,,,,
9.04478931427002,0.0007,247,-0.4984174966812134,134.0,31744,-1.9839487075805664,-182.184284,0.41003328561782837,,,,,
12.847023010253906,0.0007,251,-0.8335863351821899,5.4,32256,-2.017164468765259,-5.2989356,0.41642165184020996,,,,,
6.004398345947266,0.0007,255,0.1753551959991455,108.2,32768,-1.9602690935134888,-29.6114912,0.5490484535694122,,,,,
6.7406110763549805,0.0007,259,-1.6708884239196777,134.0,33280,-2.0317938327789307,-43.3609728,0.48851287364959717,,,,,
6.939305305480957,0.0007,263,-0.650562047958374,57.2,33792,-1.9992530345916748,-12.169557600000001,0.47202742099761963,,,,,
4.660754203796387,0.0007,267,-0.250720351934433,134.0,34304,-1.9522724151611328,-181.83280280000002,0.5381642878055573,,,,,
5.186246871948242,0.0007,271,0.30002838373184204,134.0,34816,-2.07375431060791,-40.0034954,0.5484548211097717,,,,,
27.182476043701172,0.0007,275,-5.864650726318359,134.0,35328,-2.313819408416748,-146.6364756,0.2306038737297058,,,,,
10.923065185546875,0.0007,279,3.403475284576416,134.0,35840,-2.0100436210632324,-181.8005288,0.42750513553619385,,,,,
6.269344329833984,0.0007,283,-0.9172206521034241,134.0,36352,-2.0543150901794434,-182.33181139999996,0.5401631891727448,,,,,
