time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/kl_divergence_loss,train/policy_objective,train/n_updates,train/learning_rate,train/value_loss,train/explained_variance,train/is_line_search_success,eval/mean_ep_length,eval/mean_reward
,19968,,,,,0.04626493155956268,0.18179838359355927,155,0.001,1.3224024176597595,0.16725623607635498,1.0,211.4,-18.4520908
47709,19968,0,-5.635474729999999,9.23,156,,,,,,,,,
47798,20096,0,-5.904876729999999,13.08,157,0.06166873499751091,0.042733628302812576,156,0.001,0.36835206001996995,0.0463252067565918,1.0,,
47890,20224,0,-5.99415581,15.25,158,0.07082177698612213,0.2334645688533783,157,0.001,2.4013171434402465,0.1662977933883667,1.0,,
47973,20352,0,-5.99415581,15.25,159,0.058509401977062225,0.024919234216213226,158,0.001,2.82154176235199,0.11447364091873169,1.0,,
,20480,,,,,0.03294110298156738,0.053901754319667816,159,0.001,0.6781727761030197,0.1871662735939026,1.0,366.0,-53.9690746
48949,20480,0,-6.02521737,15.85,160,,,,,,,,,
49020,20608,0,-6.02521737,15.85,161,0.08394572138786316,0.045254386961460114,160,0.001,1.449820065498352,0.26787644624710083,1.0,,
49083,20736,0,-6.02521737,15.85,162,0.09624780714511871,0.08200577646493912,161,0.001,1.4630903542041778,0.4628843665122986,1.0,,
49146,20864,0,-6.02521737,15.85,163,0.021278616040945053,0.05774243175983429,162,0.001,1.296283745765686,0.6346316337585449,1.0,,
,20992,,,,,0.017803175374865532,0.02212757244706154,163,0.001,0.7748252928256989,0.710516631603241,1.0,398.6,-146.8992508
50121,20992,0,-6.15227431,18.62,164,,,,,,,,,
50180,21120,0,-6.15227431,18.62,165,0.07358679175376892,0.0520380362868309,164,0.001,4.2963803052902225,0.4886547327041626,1.0,,
50242,21248,0,-6.15227431,18.62,166,0.05398255214095116,0.06122104078531265,165,0.001,1.0174318969249725,0.8948448747396469,1.0,,
50304,21376,0,-6.435294040000001,21.69,167,0.03663088381290436,0.02349265106022358,166,0.001,1.3979868054389955,0.8763438314199448,1.0,,
,21504,,,,,0.0366688147187233,0.04968752712011337,167,0.001,8.790070009231567,0.33581095933914185,1.0,400.0,-175.5178926
51274,21504,0,-6.435294040000001,21.69,168,,,,,,,,,
51335,21632,0,-6.567123329999999,25.12,169,0.0837368369102478,0.11536374688148499,168,0.001,5.440033340454102,0.6226176917552948,1.0,,
51394,21760,0,-7.10107092,28.68,170,0.06763307750225067,0.05432116240262985,169,0.001,11.606277084350586,0.32966679334640503,1.0,,
51455,21888,0,-7.49503141,29.89,171,0.04996751993894577,0.08565720915794373,170,0.001,16.73719367980957,0.27453845739364624,1.0,,
,22016,,,,,0.022749608382582664,0.04001504182815552,171,0.001,3.5967095375061033,0.7705879658460617,1.0,400.0,-67.923885
52426,22016,0,-7.872482819999999,32.47,172,,,,,,,,,
52484,22144,0,-7.872482819999999,32.47,173,0.02104572020471096,0.006583135575056076,172,0.001,5.479311132431031,0.5935559868812561,1.0,,
52542,22272,0,-7.872482819999999,32.47,174,0.027247147634625435,0.02394268661737442,173,0.001,0.8418978989124298,0.9464414790272713,1.0,,
