algo,beta,split,mean_reward,std_reward,experiment,context
A2C,0.01,in_sample,-183.13087465,1.1626024303150764,single-cell-line,standard
A2C,0.01,out_of_sample,-183.48952069999999,1.348382071472071,single-cell-line,"cell_lines=random, diffusions=random, drugs=random"
