time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/value_loss,train/kl_divergence_loss,train/learning_rate,train/n_updates,train/is_line_search_success,train/policy_objective,train/explained_variance,eval/mean_ep_length,eval/mean_reward
6528,0,-261.60822731,52.62,24304,51,1404.6696166992188,0.004520413000136614,0.001,50,1.0,0.2045893669128418,-1.1920928955078125e-07,,
6656,,,,,,2177.47802734375,0.00461590476334095,0.001,51,1.0,0.22525238990783691,-2.384185791015625e-07,292.6,-145.3683846
6656,0,-262.16961342,52.77,25298,52,,,,,,,,,
6784,0,-261.43915814,52.73,25519,53,2137.731787109375,0.004229169804602861,0.001,52,1.0,0.26681461930274963,-1.1920928955078125e-07,,
6912,0,-260.39934534,52.95,25750,54,1595.4154418945313,0.004333948250859976,0.001,53,1.0,0.22380179166793823,0.0,,
7040,0,-260.20370352000003,53.03,26003,55,1758.4301513671876,0.004464088939130306,0.001,54,1.0,0.23985561728477478,-1.1920928955078125e-07,,
7168,,,,,,2919.908642578125,0.004672104027122259,0.001,55,1.0,0.21935638785362244,-1.1920928955078125e-07,396.8,-180.9395582
7168,0,-254.41705434999997,52.23,27073,56,,,,,,,,,
7296,0,-239.4968197,49.86,27312,57,1304.7356567382812,0.004233486019074917,0.001,56,1.0,0.20836390554904938,0.0,,
7424,0,-228.29123254,47.91,27570,58,1042.5654907226562,0.004401667974889278,0.001,57,1.0,0.20016495883464813,5.960464477539063e-08,,
7552,0,-228.75143734000002,48.08,27814,59,2629.3022216796876,0.004214996472001076,0.001,58,1.0,0.22131237387657166,0.0,,
7680,,,,,,1682.5153442382812,0.003749691881239414,0.001,59,1.0,0.19265642762184143,0.0,136.6,-136.50987479999998
7680,0,-226.55907255000005,47.83,28832,60,,,,,,,,,
7808,0,-226.00270737000005,47.92,29075,61,1788.6932983398438,0.004453699104487896,0.001,60,1.0,0.22956058382987976,-1.1920928955078125e-07,,
7936,0,-226.61563965000005,48.19,29318,62,2137.8821044921874,0.004203963093459606,0.001,61,1.0,0.1969384253025055,1.1920928955078125e-07,,
8064,0,-226.93892086000002,48.37,29551,63,1325.5750244140625,0.00417480431497097,0.001,62,1.0,0.2230711132287979,5.960464477539063e-08,,
8192,,,,,,2218.78349609375,0.004557854495942593,0.001,63,1.0,0.22358405590057373,-1.1920928955078125e-07,67.6,-180.9307118
