eval/mean_reward,train/learning_rate,train/entropy_loss,eval/mean_ep_length,train/policy_loss,train/value_loss,time/total_timesteps,train/n_updates,train/explained_variance,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,rollout/ep_len_mean
-584.217737,0.0007,-10.331295013427734,40.0,-666.2946166992188,6187.85107421875,512,3,-9.5367431640625e-07,,,,,
-406.3472636,0.0007,-10.263218879699707,80.0,-875.4405517578125,10961.0234375,1024,7,5.364418029785156e-07,,,,,
-182.0009982,0.0007,-10.140392303466797,80.0,-966.0684204101562,12254.6953125,1536,11,1.7881393432617188e-07,,,,,
-245.6614808,0.0007,-9.976673126220703,400.0,-515.6819458007812,4103.630859375,2048,15,5.960464477539063e-08,,,,,
-473.7038666,0.0007,-10.023256301879883,400.0,-665.2313232421875,7284.76171875,2560,19,2.980232238769531e-07,,,,,
-241.4956044,0.0007,-9.871050834655762,398.8,-780.66259765625,9135.3212890625,3072,23,-1.1920928955078125e-07,,,,,
-53.7962716,0.0007,-9.905084609985352,58.0,-574.33447265625,6594.203125,3584,27,5.960464477539063e-08,,,,,
-249.55096399999996,0.0007,-9.790392875671387,58.0,-591.3596801757812,5930.59130859375,4096,31,-1.1920928955078125e-07,,,,,
-183.6073518,0.0007,-9.731688499450684,58.0,-535.8675537109375,5168.6123046875,4608,35,0.0,,,,,
-181.3453868,0.0007,-9.597053527832031,100.0,-329.27056884765625,2047.252685546875,5120,39,0.0,,,,,
-180.8021012,0.0007,-9.423337936401367,80.0,-342.75531005859375,2683.40576171875,5632,43,5.960464477539063e-08,,,,,
-181.07214299999998,0.0007,-9.250762939453125,80.0,-341.0555725097656,2252.59423828125,6144,47,-1.1920928955078125e-07,,,,,
-180.480343,0.0007,-8.973608016967773,400.0,-240.42381286621094,1517.0528564453125,6656,51,-2.384185791015625e-07,,,,,
-181.0539352,0.0007,-8.443872451782227,400.0,-159.59902954101562,956.5880126953125,7168,55,0.0,,,,,
-180.5737672,0.0007,-7.360249996185303,400.0,-57.388153076171875,312.5219421386719,7680,59,1.1920928955078125e-07,,,,,
-180.67586699999998,0.0007,-6.214622497558594,400.0,-8.93370246887207,131.84478759765625,8192,63,-1.1920928955078125e-07,,,,,
-180.32279520000003,0.0007,-4.981723785400391,400.0,11.607511520385742,62.28968811035156,8704,67,-3.5762786865234375e-07,,,,,
-181.3080574,0.0007,-4.559066295623779,400.0,20.311100006103516,72.60942077636719,9216,71,-2.384185791015625e-07,,,,,
-180.51494800000003,0.0007,-4.515711784362793,400.0,9.770013809204102,58.84152603149414,9728,75,-4.76837158203125e-07,,,,,
-181.0990764,0.0007,-4.168376922607422,400.0,15.389579772949219,72.30015563964844,10240,79,-3.5762786865234375e-07,,,,,
-180.74969099999998,0.0007,-4.135949611663818,400.0,14.717304229736328,53.998252868652344,10752,83,-3.5762786865234375e-07,,,,,
-181.3155174,0.0007,-4.01138973236084,400.0,15.564281463623047,71.543701171875,11264,87,-1.1920928955078125e-07,,,,,
-181.5528538,0.0007,-3.752089500427246,400.0,5.817758560180664,45.08403015136719,11776,91,3.5762786865234375e-07,,,,,
-180.7456692,0.0007,-3.7769012451171875,400.0,12.85222339630127,54.13872528076172,12288,95,0.0,,,,,
-181.2665538,0.0007,-3.577117919921875,400.0,6.128035545349121,56.90094757080078,12800,99,4.76837158203125e-07,,,,,
,,,,,,12800,,,40276,-12.561178350000002,0,100,9.66
-180.3666386,0.0007,-3.49416184425354,400.0,8.118621826171875,60.712955474853516,13312,103,1.6689300537109375e-06,,,,,
-181.07007559999997,0.0007,-3.4831573963165283,400.0,6.237221717834473,61.00326919555664,13824,107,1.0132789611816406e-06,,,,,
-181.13758819999998,0.0007,-3.462306261062622,400.0,12.46259880065918,41.1555290222168,14336,111,2.002716064453125e-05,,,,,
-181.40719380000002,0.0007,-3.294900894165039,400.0,6.504793167114258,37.727378845214844,14848,115,7.659196853637695e-05,,,,,
-181.0809992,0.0007,-3.384596347808838,400.0,1.2391369342803955,46.637638092041016,15360,119,0.0025439858436584473,,,,,
-181.0733566,0.0007,-3.3874354362487793,400.0,-13.420888900756836,53.22771453857422,15872,123,0.014386177062988281,,,,,
-180.89085219999998,0.0007,-3.2494544982910156,400.0,6.266927719116211,32.513816833496094,16384,127,0.06275075674057007,,,,,
-181.2974462,0.0007,-3.077857255935669,400.0,-0.36020004749298096,12.967185974121094,16896,131,0.18280452489852905,,,,,
-180.7734408,0.0007,-2.970674514770508,400.0,1.0554356575012207,9.326027870178223,17408,135,0.23753267526626587,,,,,
-180.84227,0.0007,-2.933216094970703,400.0,-4.882989883422852,16.16865348815918,17920,139,0.26793134212493896,,,,,
-180.6682244,0.0007,-2.8864762783050537,400.0,-4.553487300872803,19.682872772216797,18432,143,0.19470012187957764,,,,,
-181.0551172,0.0007,-2.8235924243927,400.0,0.025522872805595398,14.853586196899414,18944,147,0.3455623388290405,,,,,
-180.81071400000002,0.0007,-2.9514036178588867,400.0,-3.457916736602783,30.466487884521484,19456,151,0.19685381650924683,,,,,
-181.0146728,0.0007,-2.7345638275146484,400.0,-0.06553405523300171,8.030523300170898,19968,155,0.4558197855949402,,,,,
-181.5487812,0.0007,-2.473097085952759,400.0,-1.1914138793945312,12.429101943969727,20480,159,0.3722689747810364,,,,,
-180.7357084,0.0007,-2.383599042892456,400.0,-1.4882858991622925,8.986988067626953,20992,163,0.48116976022720337,,,,,
-180.5944612,0.0007,-2.384732484817505,400.0,4.186718940734863,7.76655387878418,21504,167,0.4705655574798584,,,,,
-180.58659859999997,0.0007,-2.373826503753662,400.0,-0.8438178896903992,5.682894229888916,22016,171,0.5519755184650421,,,,,
-180.6477114,0.0007,-2.3502910137176514,400.0,-1.5573111772537231,6.535589218139648,22528,175,0.4470752477645874,,,,,
-180.8123256,0.0007,-2.2000927925109863,400.0,-3.1773171424865723,13.020650863647461,23040,179,0.39802443981170654,,,,,
-181.3884966,0.0007,-2.1841626167297363,400.0,1.7567191123962402,3.660775899887085,23552,183,0.7104493379592896,,,,,
-181.11625420000001,0.0007,-2.190213441848755,400.0,0.4348895847797394,3.315206527709961,24064,187,0.672092616558075,,,,,
-180.99462620000003,0.0007,-2.2154970169067383,400.0,-1.0172924995422363,2.7982962131500244,24576,191,0.6647585928440094,,,,,
-181.07651,0.0007,-2.1002938747406006,400.0,-0.504584014415741,3.6781179904937744,25088,195,0.5334696471691132,,,,,
-180.8580132,0.0007,-1.9413326978683472,400.0,-2.64107084274292,3.872964382171631,25600,199,0.6117792427539825,,,,,
,,,,,,25600,,,69611,-8.64651347,0,200,15.06
