eval/mean_reward,train/learning_rate,train/entropy_loss,eval/mean_ep_length,train/policy_loss,train/value_loss,time/total_timesteps,train/n_updates,train/explained_variance,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,rollout/ep_len_mean
-180.867446,0.0007,-3.4577183723449707,400.0,-7.96011209487915,16.358009338378906,33792,263,0.359639048576355,,,,,
-62.77432799999999,0.0007,-3.448575019836426,200.0,-1.8547695875167847,4.948739051818848,34304,267,0.5698654651641846,,,,,
-100.0140572,0.0007,-3.4571146965026855,400.0,-1.537530779838562,7.555515289306641,34816,271,0.2880956530570984,,,,,
-44.2235698,0.0007,-3.6155076026916504,400.0,-2.458632707595825,6.007184982299805,35328,275,0.48931407928466797,,,,,
-161.77499840000002,0.0007,-3.3896994590759277,400.0,-1.7987275123596191,12.750387191772461,35840,279,0.42011386156082153,,,,,
-132.265837,0.0007,-3.5201146602630615,400.0,-0.08029377460479736,3.5080506801605225,36352,283,0.6229135394096375,,,,,
-128.9135938,0.0007,-3.530254364013672,400.0,-3.3473775386810303,7.344252586364746,36864,287,0.4250534176826477,,,,,
-180.7474104,0.0007,-3.244966983795166,400.0,-1.754929542541504,5.254733085632324,37376,291,0.5157593190670013,,,,,
-67.897991,0.0007,-3.2782626152038574,400.0,1.6886003017425537,4.474523544311523,37888,295,0.5536996126174927,,,,,
-61.552751799999996,0.0007,-3.5369441509246826,400.0,-0.9004325866699219,4.9049177169799805,38400,299,0.5722409784793854,,,,,
,,,,,,38400,,,111939,-8.32614403,0,300,9.3
-9.4772152,0.0007,-3.388296127319336,169.2,-1.8800777196884155,7.133286952972412,38912,303,0.5413219630718231,,,,,
-21.3013386,0.0007,-3.285733461380005,323.2,-5.4526872634887695,6.141873359680176,39424,307,0.49664372205734253,,,,,
-51.834922399999996,0.0007,-3.2142720222473145,400.0,-4.700166702270508,9.835432052612305,39936,311,0.4485713839530945,,,,,
