train/adaptive_beta,train/value_loss,time/total_timesteps,train/n_updates,train/learning_rate,eval/mean_reward,train/entropy_loss,train/explained_variance,train/policy_loss,eval/mean_ep_length,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed
0.5,7897.28857421875,512,3,0.0007,-377.013666,-10.337455749511719,0.0001195073127746582,-749.3365478515625,44.8,,,,,
0.5,12874.451171875,1024,7,0.0007,-201.85227220000002,-10.307720184326172,-0.0001493692398071289,-995.1270141601562,374.0,,,,,
0.5,7915.65380859375,1536,11,0.0007,-275.7078486,-10.2894926071167,4.076957702636719e-05,-703.36328125,399.2,,,,,
0.5,6877.943359375,2048,15,0.0007,-581.3195251999999,-10.193239212036133,-0.00013625621795654297,-732.594970703125,400.0,,,,,
0.5,11581.765625,2560,19,0.0007,-477.1705082,-10.148566246032715,-3.0517578125e-05,-889.5962524414062,400.0,,,,,
0.5,4719.1376953125,3072,23,0.0007,-537.8816338,-10.11851692199707,-6.091594696044922e-05,-537.669921875,400.0,,,,,
0.5,5875.75,3584,27,0.0007,-632.2270756,-10.186942100524902,-6.103515625e-05,-601.6939697265625,59.2,,,,,
0.5,6020.537109375,4096,31,0.0007,-637.7988326000001,-10.144512176513672,-4.7326087951660156e-05,-612.5181884765625,400.0,,,,,
0.5,9277.6015625,4608,35,0.0007,-538.0319311999999,-10.110671997070312,-3.0875205993652344e-05,-823.264404296875,400.0,,,,,
0.475,2910.21826171875,5120,39,0.0007,-180.9887714,-9.972031593322754,-0.00011849403381347656,-440.17718505859375,400.0,,,,,
0.475,8730.75,5632,43,0.0007,-180.98075839999998,-9.857340812683105,-4.506111145019531e-05,-708.1907348632812,400.0,,,,,
0.475,6792.591796875,6144,47,0.0007,-184.2625786,-9.79257583618164,1.7881393432617188e-06,-663.11474609375,58.0,,,,,
0.475,7868.1162109375,6656,51,0.0007,-183.02980780000001,-9.612222671508789,9.000301361083984e-06,-725.3941650390625,58.0,,,,,
0.475,3965.2822265625,7168,55,0.0007,-180.9529374,-9.661581039428711,-1.8477439880371094e-05,-450.64031982421875,400.0,,,,,
0.475,1235.7823486328125,7680,59,0.0007,-180.8681542,-9.639248847961426,-5.6862831115722656e-05,-243.25155639648438,400.0,,,,,
