train/adaptive_beta,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,train/value_loss,train/n_updates,train/is_line_search_success,train/learning_rate,train/kl_divergence_loss,train/explained_variance,train/policy_objective,eval/mean_reward,eval/mean_ep_length
0.5,3840,-120.26914776,30,0,32.31,12565,464.95404663085935,29,1.0,0.001,0.21698512136936188,4.5299530029296875e-06,2.8973262310028076,,
0.5,3968,-103.17688755,31,0,30.0,12746,261.9729278564453,30,1.0,0.001,0.24519789218902588,-3.0875205993652344e-05,1.480931043624878,,
0.5,4096,,,,,,167.63199615478516,31,1.0,0.001,0.440616637468338,-4.661083221435547e-05,1.1765027046203613,-99.08354019999999,135.8
0.5,4096,-92.69289976,32,0,28.57,13730,,,,,,,,,
0.5,4224,-87.48224649,33,0,28.09,13895,209.01353607177734,32,1.0,0.001,0.22672714293003082,-1.7642974853515625e-05,0.6104974150657654,,
0.5,4352,-77.00914293000001,34,0,26.78,14081,309.47446899414064,33,1.0,0.001,0.42564573884010315,-1.5735626220703125e-05,7.7252702713012695,,
0.5,4480,-72.4457436,35,0,26.0,14249,175.25548706054687,34,1.0,0.001,0.22531089186668396,-2.6106834411621094e-05,1.6859211921691895,,
0.5,4608,,,,,,202.51795349121093,35,1.0,0.001,0.4021616578102112,-1.0967254638671875e-05,12.522026062011719,-4.5665683999999995,7.2
0.5,4608,-67.5280425,36,0,25.34,14450,,,,,,,,,
0.5,4736,-62.80202271000001,37,0,24.57,14646,425.3802215576172,36,1.0,0.001,0.35063880681991577,-8.702278137207031e-06,3.695669412612915,,
0.5,4864,-56.19022479,38,0,23.43,14840,211.59627380371094,37,1.0,0.001,0.3399590253829956,-3.159046173095703e-05,1.3264926671981812,,
0.5,4992,-46.89655868,39,0,20.48,15037,180.4443359375,38,1.0,0.001,0.243633434176445,-2.002716064453125e-05,0.5655854940414429,,
0.475,5120,,,,,,191.12106628417968,39,1.0,0.001,0.20124824345111847,-9.655952453613281e-06,0.7933068871498108,-7.7337526,81.4
0.475,5120,-33.48276386,40,0,15.66,15446,,,,,,,,,
