time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,rollout/ep_len_mean,time/total_timesteps,train/policy_gradient_loss,train/learning_rate,train/loss,train/value_loss,train/n_updates,train/clip_fraction,train/entropy_loss,train/approx_kl,train/clip_range,train/explained_variance,eval/mean_ep_length,eval/mean_reward
244,-136.936937,0,1,26.0,128,,,,,,,,,,,,
494,-136.936937,0,2,26.0,256,-0.045687546487897635,0.0003,1803.0638427734375,3332.4963500976564,10,0.04375,-10.354510498046874,0.011362891,0.2,0.005806088447570801,,
748,-369.25969325000005,0,3,62.25,384,-0.02742029312066734,0.0003,2292.649169921875,5024.419873046875,20,0.01640625,-10.344002103805542,0.006598286,0.2,-2.3484230041503906e-05,,
,,,,,512,-0.0435247459448874,0.0003,1389.1485595703125,2468.28740234375,30,0.0703125,-10.329246997833252,0.014926288,0.2,5.8531761169433594e-05,45.0,-207.596383
1722,-309.99472214285714,0,4,54.42857142857143,512,,,,,,,,,,,,
2002,-311.49662079999996,0,5,54.7,640,-0.041658262023702264,0.0003,1052.4254150390625,2513.288427734375,40,0.05390625,-10.306766891479493,0.01188114,0.2,8.654594421386719e-05,,
2284,-313.33649141666666,0,6,55.333333333333336,768,-0.0453760807402432,0.0003,1695.2127685546875,3119.797570800781,50,0.08046875,-10.285153532028199,0.015475717,0.2,2.1457672119140625e-06,,
2545,-315.0844565384615,0,7,55.53846153846154,896,-0.040322305634617805,0.0003,1556.1109619140625,3021.662158203125,60,0.040625,-10.271479320526122,0.011268031,0.2,1.9073486328125e-05,,
,,,,,1024,-0.041790184145793316,0.0003,1534.685302734375,3339.2567749023438,70,0.0546875,-10.272410440444947,0.0121664,0.2,-5.602836608886719e-06,132.0,-181.81175520000002
3579,-305.99908074999996,0,8,54.75,1024,,,,,,,,,,,,
3849,-308.12341784210525,0,9,55.31578947368421,1152,-0.039329663338139656,0.0003,1648.415283203125,3299.67265625,80,0.0515625,-10.26488218307495,0.012473971,0.2,-5.960464477539062e-07,,
4098,-305.7975799999999,0,10,55.142857142857146,1280,-0.05183465331792832,0.0003,1383.45751953125,2736.580108642578,90,0.10078125,-10.249088287353516,0.020199534,0.2,5.662441253662109e-06,,
4344,-289.78255308,0,11,53.08,1408,-0.04311720104888082,0.0003,1218.5615234375,2324.6057312011717,100,0.07109375,-10.241913890838623,0.014585739,0.2,6.9141387939453125e-06,,
,,,,,1536,-0.04455017391592264,0.0003,738.9560546875,1572.2234008789062,110,0.1015625,-10.232768487930297,0.01634755,0.2,1.6093254089355469e-06,134.0,-182.3325224
5376,-289.78255308,0,12,53.08,1536,,,,,,,,,,,,
5640,-298.62551332142857,0,13,55.535714285714285,1664,-0.0319012600928545,0.0003,1850.662841796875,3673.9639892578125,120,0.01796875,-10.21440052986145,0.00763685,0.2,1.1086463928222656e-05,,
5883,-300.5485496666667,0,14,55.86666666666667,1792,-0.03961093751713633,0.0003,1495.174072265625,2974.1647094726563,130,0.040625,-10.21483759880066,0.010108493,0.2,-9.5367431640625e-07,,
6109,-295.41840746875,0,15,55.3125,1920,-0.041042920853942635,0.0003,1441.087646484375,2725.312890625,140,0.05859375,-10.195535278320312,0.013350334,0.2,8.940696716308594e-07,,
,,,,,2048,-0.04959899494424462,0.0003,802.4898071289062,1673.4721740722657,150,0.090625,-10.189092779159546,0.017367657,0.2,-7.152557373046875e-06,134.0,-182.63858079999997
7128,-289.76556419444444,0,16,55.083333333333336,2048,,,,,,,,,,,,
7352,-285.14497356756755,0,17,54.45945945945946,2176,-0.054974790662527084,0.0003,728.3414306640625,1405.421435546875,160,0.12578125,-10.184736394882203,0.020351231,0.2,-2.86102294921875e-06,,
7600,-283.364650375,0,18,55.1,2304,-0.047355087101459505,0.0003,1125.6839599609375,2234.330731201172,170,0.06953125,-10.17175645828247,0.014184171,0.2,-3.0994415283203125e-06,,
7856,-282.8871269523809,0,19,55.357142857142854,2432,-0.05416003596037626,0.0003,485.0603942871094,1109.8066986083984,180,0.10859375,-10.16684103012085,0.01808495,0.2,-4.291534423828125e-06,,
,,,,,2560,-0.045918131899088624,0.0003,1296.41552734375,2754.2748291015623,190,0.084375,-10.17475447654724,0.015460359,0.2,-2.2649765014648438e-06,134.0,-305.61399439999997
8868,-283.5259486590909,0,20,55.81818181818182,2560,,,,,,,,,,,,
9118,-285.86750106666665,0,21,56.17777777777778,2688,-0.05671429913491011,0.0003,620.2575073242188,1415.5312133789062,200,0.12734375,-10.18107533454895,0.020938825,0.2,-4.76837158203125e-06,,
9355,-279.7943813877551,0,22,55.38775510204081,2816,-0.043212238466367126,0.0003,1569.0323486328125,3026.70078125,210,0.0890625,-10.174775552749633,0.01764876,0.2,9.5367431640625e-07,,
9581,-276.1489106346154,0,23,55.09615384615385,2944,-0.06263370988890529,0.0003,665.8931884765625,1463.0022521972655,220,0.1578125,-10.172675180435181,0.023995114,0.2,-2.1457672119140625e-06,,
,,,,,3072,-0.05199691243469715,0.0003,583.3616333007812,1224.6213256835938,230,0.096875,-10.157041311264038,0.017027818,0.2,-3.0994415283203125e-06,400.0,-180.7569202
10671,-270.2737609259259,0,24,54.27777777777778,3072,,,,,,,,,,,,
10874,-267.8819882456141,0,25,54.24561403508772,3200,-0.04965652981773019,0.0003,1091.4896240234375,2444.961297607422,240,0.0765625,-10.148001956939698,0.0152363945,0.2,-2.0265579223632812e-06,,
