time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/loss,train/approx_kl,train/clip_range,train/clip_fraction,train/entropy_loss,train/learning_rate,train/n_updates,train/value_loss,train/explained_variance,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_ep_length,eval/mean_reward
123,0,21610,15744,1389.0614013671875,0.006718742,0.2,0.02265625,-10.316693353652955,0.0003,1220,2998.333203125,-5.960464477539062e-07,-0.03025933913886547,-429.53857310000006,77.36,,
,,,15872,1706.9481201171875,0.006965222,0.2,0.0203125,-10.31723747253418,0.0003,1230,3129.3601806640627,-5.0067901611328125e-06,-0.03145964276045561,,,187.4,-385.5037168
124,0,22025,15872,,,,,,,,,,,-429.92783978000006,77.36,,
125,0,22117,16000,1480.5865478515625,0.0085827885,0.2,0.0328125,-10.309644556045532,0.0003,1240,2980.4486328125,-5.960464477539062e-07,-0.04159984365105629,-429.94762202,77.34,,
126,0,22202,16128,1293.3890380859375,0.0054846127,0.2,0.0109375,-10.30520544052124,0.0003,1250,3076.0941528320313,-5.960464477539062e-07,-0.03025724529288709,-430.1636821,77.46,,
127,0,22293,16256,1098.1805419921875,0.011194913,0.2,0.05078125,-10.30449299812317,0.0003,1260,2172.9100036621094,1.9073486328125e-06,-0.04585553351789713,-430.62357338000004,77.5,,
,,,16384,1181.7442626953125,0.009489663,0.2,0.05703125,-10.315351867675782,0.0003,1270,2267.335656738281,-1.1920928955078125e-06,-0.038065319415181875,,,185.8,-340.7617568
128,0,22711,16384,,,,,,,,,,,-430.62357338000004,77.5,,
129,0,22804,16512,1720.052978515625,0.0076232464,0.2,0.01953125,-10.31921558380127,0.0003,1280,3510.3217651367186,-7.152557373046875e-07,-0.033071124088019134,-430.9476281900001,77.58,,
130,0,22910,16640,919.5031127929688,0.011727041,0.2,0.0453125,-10.319604301452637,0.0003,1290,1989.4826782226562,-7.152557373046875e-07,-0.04256481379270553,-431.41132217000006,77.64,,
131,0,23008,16768,1790.727294921875,0.005023518,0.2,0.00703125,-10.318227434158326,0.0003,1300,3477.0278198242186,-1.430511474609375e-06,-0.029247877839952707,-430.78743412000006,77.38,,
,,,16896,1424.264404296875,0.009827876,0.2,0.03828125,-10.318252420425415,0.0003,1310,2546.6096435546874,-1.430511474609375e-06,-0.039844652824103835,,,137.8,-291.70164259999996
132,0,23415,16896,,,,,,,,,,,-428.9469235699999,77.15,,
133,0,23512,17024,1892.4794921875,0.009728162,0.2,0.0421875,-10.327116060256959,0.0003,1320,3474.492138671875,-2.384185791015625e-06,-0.03551735980436206,-429.33134907,77.02,,
134,0,23614,17152,1709.6280517578125,0.01096515,0.2,0.04296875,-10.325379228591919,0.0003,1330,3617.294580078125,2.980232238769531e-07,-0.04039029181003571,-431.72313304999994,76.94,,
135,0,23714,17280,1495.1346435546875,0.009504135,0.2,0.03203125,-10.32088942527771,0.0003,1340,2874.934375,-2.86102294921875e-06,-0.04009012174792588,-431.55124190999993,76.9,,
,,,17408,1863.56201171875,0.0050854576,0.2,0.00625,-10.319592237472534,0.0003,1350,3962.8562744140627,-5.960464477539062e-07,-0.027298240270465613,,,113.2,-364.18644079999996
136,0,24114,17408,,,,,,,,,,,-431.8461286999999,76.84,,
137,0,24215,17536,1145.7615966796875,0.009942132,0.2,0.040625,-10.321463632583619,0.0003,1360,2432.5217529296874,-3.5762786865234375e-07,-0.04402290666475892,-431.9140830099999,76.88,,
138,0,24313,17664,1770.7052001953125,0.0054322146,0.2,0.01328125,-10.326455926895141,0.0003,1370,3897.2483520507812,-5.960464477539062e-07,-0.02600626926869154,-430.64070051000004,76.83,,
139,0,24409,17792,1453.655517578125,0.006135567,0.2,0.01484375,-10.327728605270385,0.0003,1380,3207.011096191406,-8.344650268554688e-07,-0.031216400396078824,-430.5203164,76.89,,
,,,17920,1683.524169921875,0.013333483,0.2,0.05625,-10.33302674293518,0.0003,1390,3121.4230834960936,-5.960464477539062e-07,-0.043293935153633355,,,185.8,-500.97310659999994
140,0,24837,17920,,,,,,,,,,,-429.22420963,76.82,,
141,0,24938,18048,2224.954345703125,0.011231791,0.2,0.05078125,-10.332178258895874,0.0003,1400,3759.76142578125,-2.384185791015625e-07,-0.043520815949887035,-428.5404281499999,76.65,,
142,0,25038,18176,1439.5819091796875,0.012251416,0.2,0.0578125,-10.328108501434325,0.0003,1410,3267.0717529296876,-5.960464477539062e-07,-0.04164183521643281,-429.21220053999997,76.66,,
143,0,25130,18304,1494.5325927734375,0.0051202592,0.2,0.0109375,-10.329666757583619,0.0003,1420,3170.2424194335936,-3.5762786865234375e-07,-0.026688213041052223,-429.1347648600001,76.57,,
,,,18432,1086.3751220703125,0.010596091,0.2,0.04140625,-10.32695450782776,0.0003,1430,2357.5988159179688,0.0,-0.04084203029051423,,,109.4,-411.8185284
144,0,25522,18432,,,,,,,,,,,-429.1347648600001,76.57,,
145,0,25621,18560,2234.0078125,0.0059968974,0.2,0.009375,-10.323560190200805,0.0003,1440,4019.2088012695312,-8.344650268554688e-07,-0.03303908538073301,-428.6369456100001,76.54,,
146,0,25714,18688,1469.1246337890625,0.011766497,0.2,0.05390625,-10.319222021102906,0.0003,1450,2981.1927124023437,-9.5367431640625e-07,-0.04284439133480191,-428.9412773800001,76.64,,
147,0,25808,18816,1735.4947509765625,0.008394001,0.2,0.028125,-10.317591428756714,0.0003,1460,3559.137890625,-9.5367431640625e-07,-0.03431542464531958,-429.16511831,76.64,,
,,,18944,1585.3099365234375,0.007743317,0.2,0.02265625,-10.323799848556519,0.0003,1470,3283.0108276367187,-8.344650268554688e-07,-0.032399844657629726,,,171.0,-390.6318708
148,0,26227,18944,,,,,,,,,,,-429.66681774999995,76.67,,
149,0,26327,19072,1643.351318359375,0.008292269,0.2,0.02890625,-10.326995944976806,0.0003,1480,3232.6513427734376,-4.76837158203125e-07,-0.039437833894044164,-429.5124171799999,76.76,,
150,0,26428,19200,2262.428466796875,0.006901526,0.2,0.021875,-10.3214271068573,0.0003,1490,4039.5777954101563,-2.6226043701171875e-06,-0.03614075351506472,-429.94645937,76.75,,
151,0,26526,19328,1735.515380859375,0.009318951,0.2,0.0359375,-10.319189167022705,0.0003,1500,3386.2603759765625,-8.344650268554688e-07,-0.03694553952664137,-430.16731524000005,76.76,,
,,,19456,1881.9462890625,0.0076475926,0.2,0.025,-10.322686529159546,0.0003,1510,3974.6398803710936,2.384185791015625e-07,-0.03395548835396767,,,99.8,-347.59480299999996
152,0,26915,19456,,,,,,,,,,,-429.82586698000006,76.59,,
153,0,27009,19584,1521.9373779296875,0.00868012,0.2,0.03125,-10.32040514945984,0.0003,1520,3078.1859619140623,1.7881393432617188e-07,-0.03576000090688467,-429.30173138000004,76.72,,
154,0,27100,19712,1369.7828369140625,0.0075259223,0.2,0.0234375,-10.31373863220215,0.0003,1530,3024.2853881835936,-4.76837158203125e-07,-0.03844236200675368,-429.46831668000004,76.68,,
155,0,27198,19840,1520.4298095703125,0.009180834,0.2,0.0265625,-10.316758060455323,0.0003,1540,3194.0949584960936,-1.430511474609375e-06,-0.03491562781855464,-428.93771763999996,76.68,,
,,,19968,1032.1697998046875,0.009862116,0.2,0.0375,-10.325397491455078,0.0003,1550,2606.4379760742186,-4.76837158203125e-07,-0.03730544331483543,,,71.2,-264.61312780000003
156,0,27581,19968,,,,,,,,,,,-429.27109085000006,76.7,,
157,0,27690,20096,1704.654541015625,0.0066452227,0.2,0.0203125,-10.32892665863037,0.0003,1560,3481.6923706054686,-2.384185791015625e-07,-0.03254688996821642,-430.12782482,76.65,,
158,0,27790,20224,1830.86181640625,0.0061203553,0.2,0.0203125,-10.334085988998414,0.0003,1570,4093.3552856445312,-3.5762786865234375e-07,-0.030020549707114697,-429.80551624,76.56,,
159,0,27883,20352,1781.810791015625,0.008805886,0.2,0.03203125,-10.331736612319947,0.0003,1580,3479.0307861328124,-1.1920928955078125e-06,-0.03918467219918966,-429.95660193,76.48,,
,,,20480,2173.0302734375,0.0070239156,0.2,0.01875,-10.329281616210938,0.0003,1590,4167.03828125,1.1920928955078125e-07,-0.03235310688614845,,,116.2,-418.05040740000004
160,0,28279,20480,,,,,,,,,,,-430.20061325999995,76.51,,
161,0,28376,20608,2055.309814453125,0.0057338155,0.2,0.0140625,-10.326777029037476,0.0003,1600,4575.67353515625,-1.1920928955078125e-06,-0.030089655332267283,-430.83346874,76.47,,
162,0,28472,20736,2233.759765625,0.006516095,0.2,0.01640625,-10.323813962936402,0.0003,1610,4096.613452148437,-8.344650268554688e-07,-0.03310500257648528,-432.80056814000005,76.54,,
163,0,28570,20864,1179.6590576171875,0.012299327,0.2,0.0453125,-10.321725225448608,0.0003,1620,2910.73310546875,-5.960464477539062e-07,-0.043730267649516465,-432.77017845,76.51,,
,,,20992,1569.78955078125,0.006747496,0.2,0.01484375,-10.320286178588868,0.0003,1630,3116.008654785156,-1.3113021850585938e-06,-0.03160888710990548,,,156.4,-371.38126279999994
164,0,28970,20992,,,,,,,,,,,-432.89372949999995,76.53,,
165,0,29062,21120,1567.619873046875,0.012267377,0.2,0.0515625,-10.313986253738403,0.0003,1640,2947.9134765625,4.172325134277344e-07,-0.0427234360948205,-432.3652585599999,76.77,,
166,0,29158,21248,1568.4541015625,0.012263142,0.2,0.0546875,-10.309751749038696,0.0003,1650,3232.2822875976562,-4.76837158203125e-07,-0.04553753938525915,-432.6995221099998,76.8,,
167,0,29250,21376,1678.443359375,0.008942403,0.2,0.03359375,-10.31006875038147,0.0003,1660,3493.6349853515626,-4.76837158203125e-07,-0.033263482991605996,-432.81331435,76.8,,
,,,21504,1113.630126953125,0.011241939,0.2,0.0390625,-10.312286043167115,0.0003,1670,2439.9482299804686,-3.5762786865234375e-07,-0.042747436463832854,,,261.2,-289.89762379999996
168,0,29694,21504,,,,,,,,,,,-433.13663799999995,76.73,,
169,0,29786,21632,1901.2337646484375,0.0056714,0.2,0.01171875,-10.314824104309082,0.0003,1680,3850.8398315429686,-2.384185791015625e-07,-0.028430551290512085,-433.16188314,76.75,,
170,0,29884,21760,1163.4686279296875,0.008493814,0.2,0.021875,-10.320142793655396,0.0003,1690,2581.2800415039064,-1.1920928955078125e-07,-0.03562983926385641,-435.08935571999996,76.99,,
171,0,29984,21888,1308.1590576171875,0.009585484,0.2,0.03984375,-10.324287033081054,0.0003,1700,2458.8908935546874,-4.76837158203125e-07,-0.03953299708664417,-434.91328308,76.89,,
,,,22016,1561.3277587890625,0.008324277,0.2,0.025,-10.327554750442506,0.0003,1710,3187.7489379882813,-2.384185791015625e-07,-0.03305498268455267,,,115.4,-345.8755
172,0,30382,22016,,,,,,,,,,,-434.91562553999995,76.87,,
173,0,30485,22144,2516.799560546875,0.0064050467,0.2,0.015625,-10.324976348876953,0.0003,1720,4991.150122070312,-5.960464477539062e-07,-0.03085626745596528,-435.4162339899999,76.79,,
174,0,30587,22272,1649.0618896484375,0.009160912,0.2,0.02734375,-10.321413564682008,0.0003,1730,3868.6402221679687,0.0,-0.03773696534335613,-435.8568276399999,76.84,,
175,0,30687,22400,2312.5966796875,0.010641032,0.2,0.03359375,-10.325387907028198,0.0003,1740,4261.170141601562,-3.5762786865234375e-07,-0.039456235524266955,-436.91581576,76.62,,
,,,22528,1479.181640625,0.010336405,0.2,0.03828125,-10.321863269805908,0.0003,1750,3235.2833251953125,-1.1920928955078125e-07,-0.04307718244381249,,,117.0,-261.95349100000004
176,0,31092,22528,,,,,,,,,,,-436.3481860199999,76.55,,
177,0,31192,22656,1844.3321533203125,0.0067961314,0.2,0.02109375,-10.31757926940918,0.0003,1760,3370.6469482421876,-3.5762786865234375e-07,-0.03052089484408498,-436.44235478999997,76.42,,
178,0,31295,22784,1189.2911376953125,0.010789422,0.2,0.0421875,-10.319119548797607,0.0003,1770,2673.6968017578124,-1.1920928955078125e-07,-0.043454754864796996,-436.21510261,76.27,,
179,0,31396,22912,1952.242919921875,0.009661712,0.2,0.034375,-10.319511938095093,0.0003,1780,3550.1094482421877,-2.384185791015625e-07,-0.03775714049115777,-436.21441321000003,76.2,,
,,,23040,1889.1448974609375,0.0070724003,0.2,0.0171875,-10.32190556526184,0.0003,1790,3891.9963500976564,1.7881393432617188e-07,-0.032838926278054716,,,206.8,-247.42759999999998
180,0,31820,23040,,,,,,,,,,,-436.03441355999996,76.14,,
181,0,31926,23168,1436.394287109375,0.013562014,0.2,0.06328125,-10.321115112304687,0.0003,1800,2919.2865600585938,-7.152557373046875e-07,-0.04085282776504755,-435.94141084999995,76.08,,
182,0,32021,23296,1924.2664794921875,0.0054257866,0.2,0.01328125,-10.32671480178833,0.0003,1810,3980.700964355469,-4.76837158203125e-07,-0.032367581687867644,-436.30353151,75.95,,
183,0,32114,23424,1184.8978271484375,0.012392631,0.2,0.04765625,-10.325320386886597,0.0003,1820,2482.4241455078127,0.0,-0.044786883518099785,-436.6881594400001,75.92,,
,,,23552,1444.2864990234375,0.008415631,0.2,0.0328125,-10.315070867538452,0.0003,1830,3276.4391357421873,-1.0728836059570312e-06,-0.03492955788969994,,,242.0,-453.53441920000006
184,0,32556,23552,,,,,,,,,,,-437.03382835,75.95,,
185,0,32652,23680,1770.0340576171875,0.01110341,0.2,0.0484375,-10.31249828338623,0.0003,1840,3590.0911865234375,-7.152557373046875e-07,-0.04734985027462244,-436.7254387500001,75.79,,
186,0,32747,23808,1601.8848876953125,0.011237406,0.2,0.05,-10.318527221679688,0.0003,1850,3360.5315185546874,3.5762786865234375e-07,-0.04108929699286819,-436.34825986000004,75.75,,
187,0,32839,23936,1513.7908935546875,0.016146611,0.2,0.09375,-10.32248034477234,0.0003,1860,2741.2198974609373,2.384185791015625e-06,-0.04976661829277873,-436.27620402,75.82,,
,,,24064,1280.32421875,0.013710317,0.2,0.06953125,-10.318129682540894,0.0003,1870,2492.499401855469,-7.152557373046875e-07,-0.04604655895382166,,,94.4,-329.830481
188,0,33237,24064,,,,,,,,,,,-436.08755754999993,75.68,,
189,0,33336,24192,1749.1676025390625,0.008143767,0.2,0.025,-10.319076442718506,0.0003,1880,3502.349230957031,-1.1920928955078125e-07,-0.03507511503994465,-436.91754528999996,75.68,,
190,0,33432,24320,1410.204345703125,0.012999575,0.2,0.0671875,-10.318906116485596,0.0003,1890,2571.549462890625,-2.384185791015625e-07,-0.04877810440957546,-437.09123084,75.64,,
191,0,33523,24448,1509.5235595703125,0.0079900995,0.2,0.03203125,-10.319372320175171,0.0003,1900,3401.020361328125,3.5762786865234375e-07,-0.03383016763255,-438.75199315000003,75.89,,
,,,24576,1482.643798828125,0.009272657,0.2,0.03203125,-10.313079118728638,0.0003,1910,2920.844519042969,-1.1920928955078125e-07,-0.04028895944356918,,,111.6,-339.00356400000004
192,0,33910,24576,,,,,,,,,,,-438.79706717,75.94,,
193,0,34001,24704,1516.7332763671875,0.013489403,0.2,0.0625,-10.302877950668336,0.0003,1920,2864.5585815429686,-3.5762786865234375e-07,-0.04543484915047884,-438.59884158000006,76.04,,
194,0,34110,24832,1817.048828125,0.008167151,0.2,0.028125,-10.305853796005248,0.0003,1930,3495.168359375,0.0,-0.02963420646265149,-438.2907028000001,76.18,,
195,0,34211,24960,1187.780517578125,0.017122468,0.2,0.121875,-10.31594090461731,0.0003,1940,2445.3983642578123,-8.344650268554688e-07,-0.05562724722549319,-438.8850585300001,76.26,,
,,,25088,1813.858154296875,0.006047746,0.2,0.0109375,-10.32012643814087,0.0003,1950,4055.5480224609373,-1.1920928955078125e-07,-0.029250524751842023,,,122.4,-378.66661739999995
196,0,34614,25088,,,,,,,,,,,-439.34372926000003,76.29,,
197,0,34713,25216,1440.877685546875,0.015166003,0.2,0.071875,-10.319207143783569,0.0003,1960,2707.023718261719,3.5762786865234375e-07,-0.0501613199710846,-439.34372926000003,76.29,,
198,0,34809,25344,2404.248291015625,0.006526603,0.2,0.01796875,-10.31152548789978,0.0003,1970,4431.645373535156,-4.76837158203125e-07,-0.029677018616348506,-439.7234,76.28,,
199,0,34905,25472,1981.4251708984375,0.0074417386,0.2,0.01953125,-10.3067307472229,0.0003,1980,4258.761755371093,-1.1920928955078125e-07,-0.03237614193931222,-440.44407061,76.28,,
,,,25600,1549.0455322265625,0.013960323,0.2,0.06953125,-10.315856170654296,0.0003,1990,3266.8329833984376,-8.344650268554688e-07,-0.043137566465884444,,,152.6,-371.93992940000004
200,0,35308,25600,,,,,,,,,,,-440.40154938,76.34,,
201,0,35400,25728,1464.4993896484375,0.012287671,0.2,0.05390625,-10.316179037094116,0.0003,2000,3301.591027832031,-4.76837158203125e-07,-0.04231566935777664,-441.19789533000005,76.55,,
202,0,35493,25856,1165.158935546875,0.021693105,0.2,0.13515625,-10.3181893825531,0.0003,2010,2347.138293457031,0.0,-0.06568146841600538,-441.19789533000005,76.55,,
203,0,35591,25984,1842.0203857421875,0.0034148917,0.2,0.0078125,-10.322391891479493,0.0003,2020,4102.762805175781,-1.1920928955078125e-07,-0.020751699339598417,-441.41096067,76.61,,
,,,26112,1741.1976318359375,0.006338406,0.2,0.01484375,-10.319997262954711,0.0003,2030,3570.038037109375,-3.5762786865234375e-07,-0.032742171175777914,,,195.2,-399.2935738
204,0,36009,26112,,,,,,,,,,,-440.65508094999996,76.69,,
205,0,36102,26240,1467.8192138671875,0.009486668,0.2,0.04140625,-10.31818242073059,0.0003,2040,3096.542834472656,-1.430511474609375e-06,-0.03910412220284343,-441.40564039000003,76.7,,
206,0,36194,26368,1732.6636962890625,0.006541984,0.2,0.01484375,-10.323452568054199,0.0003,2050,3483.96416015625,-5.960464477539062e-07,-0.030164824333041906,-440.77691117,76.65,,
207,0,36294,26496,1305.76708984375,0.014136884,0.2,0.06640625,-10.323584699630738,0.0003,2060,2351.2666564941405,-1.1920928955078125e-07,-0.0528714113868773,-441.14695901,76.8,,
,,,26624,2080.01220703125,0.0062134126,0.2,0.021875,-10.320323371887207,0.0003,2070,4314.757250976562,0.0,-0.033452836144715545,,,150.8,-206.2511658
208,0,36704,26624,,,,,,,,,,,-441.3570998199999,76.74,,
209,0,36797,26752,1694.5777587890625,0.0072442982,0.2,0.02890625,-10.32116470336914,0.0003,2080,3503.8359130859376,0.0,-0.035413306951522824,-441.62777996,76.72,,
210,0,36891,26880,1332.9058837890625,0.009852733,0.2,0.03203125,-10.322403192520142,0.0003,2090,2986.8586547851564,-3.5762786865234375e-07,-0.03922041039913893,-441.58566609999986,76.81,,
211,0,36991,27008,1712.91162109375,0.0088597,0.2,0.0265625,-10.325313186645507,0.0003,2100,3555.6862548828126,-1.1920928955078125e-07,-0.039409898966550824,-440.94181223,76.98,,
,,,27136,1253.212158203125,0.014402897,0.2,0.07578125,-10.326978397369384,0.0003,2110,2875.9714233398436,-3.5762786865234375e-07,-0.04859655713662505,,,79.6,-389.20863240000006
212,0,37387,27136,,,,,,,,,,,-440.71570176,76.94,,
213,0,37485,27264,1860.65966796875,0.01021659,0.2,0.0375,-10.324673652648926,0.0003,2120,4216.556384277344,-4.76837158203125e-07,-0.04105192320421338,-441.23787985,76.8,,
214,0,37578,27392,1868.7315673828125,0.01799957,0.2,0.0875,-10.319623517990113,0.0003,2130,3476.382177734375,0.0,-0.048597853630781174,-441.3999609400001,76.71,,
215,0,37684,27520,2037.1759033203125,0.012558331,0.2,0.06328125,-10.32189645767212,0.0003,2140,3479.0908081054686,1.1920928955078125e-07,-0.04341293973848224,-441.9343313000001,76.6,,
,,,27648,2149.878662109375,0.006303841,0.2,0.01484375,-10.316967535018922,0.0003,2150,4295.51337890625,-1.1920928955078125e-07,-0.029485685843974353,,,134.8,-319.270956
216,0,38088,27648,,,,,,,,,,,-442.30110555000016,76.5,,
217,0,38190,27776,1314.217529296875,0.009003362,0.2,0.04296875,-10.315026569366456,0.0003,2160,3119.5884765625,-1.1920928955078125e-07,-0.03651450518518686,-441.97603996000004,76.57,,
218,0,38289,27904,1514.77685546875,0.0058805826,0.2,0.01171875,-10.31356110572815,0.0003,2170,3305.9250366210936,-7.152557373046875e-07,-0.030563772516325118,-441.24998194,76.67,,
219,0,38386,28032,1797.6627197265625,0.0124755595,0.2,0.05234375,-10.312066507339477,0.0003,2180,3821.65302734375,-7.152557373046875e-07,-0.0414908105507493,-440.86716268000004,76.71,,
,,,28160,1620.5562744140625,0.008004654,0.2,0.02421875,-10.309696531295776,0.0003,2190,3023.408898925781,-8.344650268554688e-07,-0.037532913498580456,,,92.8,-468.0034288
220,0,38781,28160,,,,,,,,,,,-437.1178696900001,76.14,,
221,0,38873,28288,1263.458740234375,0.029508004,0.2,0.1828125,-10.309940195083618,0.0003,2200,3268.4219482421877,-1.1920928955078125e-06,-0.06867541465908289,-437.29362359,76.14,,
222,0,38976,28416,1775.401611328125,0.0070671644,0.2,0.0203125,-10.312802028656005,0.0003,2210,3836.037939453125,-4.76837158203125e-07,-0.03065000898204744,-436.99281658,76.08,,
223,0,39075,28544,1767.706298828125,0.01011172,0.2,0.04609375,-10.306984806060791,0.0003,2220,3305.743359375,-1.1920928955078125e-07,-0.03982911901548505,-437.39016991000005,75.96,,
,,,28672,2449.49658203125,0.008970123,0.2,0.0296875,-10.317740392684936,0.0003,2230,4723.63525390625,-3.5762786865234375e-07,-0.035046810284256935,,,126.4,-282.81336560000005
224,0,39455,28672,,,,,,,,,,,-437.77740534,75.81,,
225,0,39550,28800,1759.9268798828125,0.009324025,0.2,0.04140625,-10.317785120010376,0.0003,2240,3168.029895019531,1.7881393432617188e-07,-0.03642304129898548,-437.9218530199999,75.67,,
226,0,39638,28928,1925.522216796875,0.008687999,0.2,0.025,-10.312773704528809,0.0003,2250,3803.1221923828125,-1.0728836059570312e-06,-0.0360562096349895,-438.20575819999993,75.66,,
227,0,39732,29056,1531.1458740234375,0.006782924,0.2,0.01953125,-10.308831548690796,0.0003,2260,3701.4831787109374,1.1920928955078125e-07,-0.03078539278358221,-437.4198005200001,75.6,,
,,,29184,1597.4139404296875,0.021334209,0.2,0.13046875,-10.306488752365112,0.0003,2270,2588.108117675781,-1.5497207641601562e-06,-0.06392136379145086,,,120.6,-399.5246814
228,0,40113,29184,,,,,,,,,,,-437.37747864,75.71,,
229,0,40204,29312,1848.3277587890625,0.011086876,0.2,0.04609375,-10.311980056762696,0.0003,2280,3810.470251464844,-2.384185791015625e-07,-0.03844149513170123,-436.6050079599999,75.52,,
230,0,40304,29440,1850.624755859375,0.010434312,0.2,0.0421875,-10.304305267333984,0.0003,2290,3504.756970214844,-4.76837158203125e-07,-0.04215931845828891,-437.6948331599999,75.52,,
231,0,40396,29568,2095.800537109375,0.009299146,0.2,0.03359375,-10.301199865341186,0.0003,2300,4385.242468261718,-1.1920928955078125e-07,-0.03792347209528089,-438.35906560999996,75.58,,
,,,29696,1691.3995361328125,0.008729344,0.2,0.03203125,-10.300083589553832,0.0003,2310,3301.099963378906,-4.76837158203125e-07,-0.036026077810674906,,,346.8,-304.7306502
232,0,40868,29696,,,,,,,,,,,-437.03483258,75.57,,
233,0,40964,29824,1464.0826416015625,0.013562046,0.2,0.07734375,-10.301352787017823,0.0003,2320,2928.6071166992188,-1.1920928955078125e-07,-0.049135821871459484,-435.68086209,75.62,,
234,0,41064,29952,1716.7373046875,0.012583824,0.2,0.06171875,-10.30241231918335,0.0003,2330,3555.1699096679686,-2.384185791015625e-07,-0.04356637690216303,-434.48949088999996,75.7,,
235,0,41155,30080,2008.610107421875,0.014573802,0.2,0.07421875,-10.293081569671632,0.0003,2340,3970.2778930664062,-3.5762786865234375e-07,-0.053667007572948934,-434.84797548999995,75.75,,
