time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/loss,train/approx_kl,train/clip_range,train/clip_fraction,train/entropy_loss,train/learning_rate,train/n_updates,train/value_loss,train/explained_variance,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_ep_length,eval/mean_reward
22,0,3809,2816,2001.2066650390625,0.003275341,0.2,0.0,-10.315505266189575,0.0003,210,4110.317712402344,9.894371032714844e-06,-0.024025958310812712,-435.03330991428567,75.51428571428572,,
23,0,3904,2944,1184.8843994140625,0.0063170153,0.2,0.01015625,-10.312351655960082,0.0003,220,2480.5698120117186,-5.245208740234375e-06,-0.034195037372410295,-435.39335827027026,75.64864864864865,,
,,,3072,1614.3580322265625,0.004279735,0.2,0.00234375,-10.306686735153198,0.0003,230,2993.8313232421874,-4.315376281738281e-05,-0.027514107711613178,,,273.4,-210.41681439999996
24,0,4361,3072,,,,,,,,,,,-433.7882313589743,75.6923076923077,,
25,0,4456,3200,1359.314697265625,0.008822892,0.2,0.02578125,-10.311482667922974,0.0003,240,2629.4525512695313,-1.6689300537109375e-05,-0.041219069296494125,-433.57478425,75.875,,
26,0,4553,3328,1616.497314453125,0.0053550056,0.2,0.01015625,-10.311434745788574,0.0003,250,3385.3139892578124,-3.528594970703125e-05,-0.029551946092396975,-432.97394487804877,76.04878048780488,,
27,0,4654,3456,1730.3861083984375,0.0037839464,0.2,0.003125,-10.310438871383667,0.0003,260,3606.022216796875,-5.364418029785156e-06,-0.026587065681815146,-432.4989205909091,76.11363636363636,,
,,,3584,1349.9583740234375,0.005021369,0.2,0.00859375,-10.311626672744751,0.0003,270,2631.6570068359374,-2.110004425048828e-05,-0.02772837267257273,,,119.0,-229.6770408
28,0,5060,3584,,,,,,,,,,,-431.8782780444445,76.31111111111112,,
29,0,5158,3712,1586.734130859375,0.0043295985,0.2,0.00703125,-10.316095447540283,0.0003,280,3410.7164916992188,-2.3365020751953125e-05,-0.02604137724265456,-430.84548351063836,76.06382978723404,,
30,0,5267,3840,1813.4742431640625,0.006667466,0.2,0.01796875,-10.316566276550294,0.0003,290,3381.2194091796873,-3.9458274841308594e-05,-0.03307291176170111,-432.03435775510195,75.91836734693878,,
31,0,5367,3968,2105.818359375,0.006690998,0.2,0.01328125,-10.314851856231689,0.0003,300,4095.3810424804688,-2.6226043701171875e-05,-0.030298492033034564,-432.5931469019607,75.86274509803921,,
,,,4096,1367.0518798828125,0.006604028,0.2,0.0171875,-10.312954521179199,0.0003,310,2754.64033203125,3.6954879760742188e-06,-0.03355057649314404,,,329.4,-217.82372059999997
32,0,5842,4096,,,,,,,,,,,-432.5652876730768,75.84615384615384,,
33,0,5935,4224,2036.4583740234375,0.004038902,0.2,0.0046875,-10.318205833435059,0.0003,320,3609.4807006835936,-9.298324584960938e-06,-0.025366298202425242,-432.45979326415085,75.9245283018868,,
34,0,6037,4352,1534.722900390625,0.0036192061,0.2,0.003125,-10.322020673751831,0.0003,330,2812.0689086914062,-8.940696716308594e-06,-0.025357822980731727,-431.6330179636363,75.94545454545455,,
35,0,6141,4480,1541.5975341796875,0.0040477165,0.2,0.003125,-10.319805526733399,0.0003,340,3299.9850219726563,-4.9591064453125e-05,-0.02652703463099897,-431.465648,75.85964912280701,,
,,,4608,1702.838134765625,0.0030306787,0.2,0.0015625,-10.31735987663269,0.0003,350,3549.0261108398436,-1.049041748046875e-05,-0.022505988460034133,,,389.2,-231.8876832
36,0,6633,4608,,,,,,,,,,,-430.6505455762711,75.8135593220339,,
37,0,6728,4736,1462.5054931640625,0.005947809,0.2,0.0140625,-10.316756677627563,0.0003,360,3013.106982421875,1.1324882507324219e-06,-0.031773924361914396,-431.8194324426229,75.78688524590164,,
38,0,6821,4864,1367.1748046875,0.006316885,0.2,0.01171875,-10.3135516166687,0.0003,370,2826.116748046875,-9.894371032714844e-06,-0.03481244007125497,-431.8194324426229,75.78688524590164,,
39,0,6926,4992,1705.21240234375,0.00405378,0.2,0.00625,-10.308838605880737,0.0003,380,3371.7533569335938,-1.728534698486328e-05,-0.024290829710662366,-431.41321670312504,75.9375,,
,,,5120,1601.942138671875,0.004385054,0.2,0.00078125,-10.305832767486573,0.0003,390,3582.3326416015625,-5.125999450683594e-06,-0.0291380213573575,,,212.8,-194.91839680000004
40,0,7341,5120,,,,,,,,,,,-431.7166172923078,75.98461538461538,,
41,0,7432,5248,1508.2830810546875,0.0049673347,0.2,0.0046875,-10.310673952102661,0.0003,400,3034.0307006835938,-7.867813110351562e-06,-0.028627863992005585,-430.4504495223881,75.82089552238806,,
42,0,7529,5376,1197.7900390625,0.005194762,0.2,0.00625,-10.316804552078247,0.0003,410,2448.971728515625,-7.62939453125e-06,-0.029478227812796833,-429.7910298695653,75.95652173913044,,
43,0,7627,5504,1163.98291015625,0.005326247,0.2,0.0078125,-10.307443189620972,0.0003,420,2740.22919921875,3.814697265625e-06,-0.03164568739011884,-429.8046294507043,75.98591549295774,,
,,,5632,1983.7435302734375,0.006331313,0.2,0.01328125,-10.288288450241089,0.0003,430,3821.0340942382813,-1.1563301086425781e-05,-0.03343988405540586,,,296.6,-200.4024842
44,0,8083,5632,,,,,,,,,,,-430.95233872222224,75.93055555555556,,
45,0,8173,5760,1704.9241943359375,0.00556018,0.2,0.00546875,-10.29579472541809,0.0003,440,3365.368859863281,-1.3232231140136719e-05,-0.029315613210201263,-431.04853882191776,76.01369863013699,,
46,0,8268,5888,1941.786865234375,0.005518157,0.2,0.00859375,-10.301634407043457,0.0003,450,3630.9075439453127,-2.372264862060547e-05,-0.027859684266149997,-431.05326206666666,76.17333333333333,,
47,0,8355,6016,2038.98876953125,0.0051422,0.2,0.00859375,-10.301860284805297,0.0003,460,3967.4047607421876,-1.2636184692382812e-05,-0.029162613255903126,-431.80543261038963,76.32467532467533,,
,,,6144,1592.5308837890625,0.008194743,0.2,0.02578125,-10.292840623855591,0.0003,470,2900.2364868164063,-4.172325134277344e-06,-0.03820594889111817,,,241.8,-243.23017959999999
48,0,8792,6144,,,,,,,,,,,-433.09331778481015,76.34177215189874,,
49,0,8883,6272,1838.7535400390625,0.005014158,0.2,0.0078125,-10.28674612045288,0.0003,480,3606.5598022460936,-5.125999450683594e-06,-0.028176890313625337,-433.09331778481015,76.34177215189874,,
50,0,8981,6400,1946.71435546875,0.007442611,0.2,0.0203125,-10.304974699020386,0.0003,490,3845.1632568359373,-1.5854835510253906e-05,-0.030549389962106942,-433.71685008536576,76.52439024390245,,
51,0,9080,6528,1516.6219482421875,0.0042538764,0.2,0.00234375,-10.310913181304931,0.0003,500,3185.4807861328127,-6.794929504394531e-06,-0.027068662364035843,-433.6879266867469,76.56626506024097,,
,,,6656,1743.6998291015625,0.006923602,0.2,0.01171875,-10.31373701095581,0.0003,510,3588.4006591796874,1.5497207641601562e-06,-0.0344283857382834,,,155.0,-240.91462280000002
52,0,9489,6656,,,,,,,,,,,-433.42674935294104,76.63529411764706,,
53,0,9582,6784,1040.2861328125,0.0055885073,0.2,0.0125,-10.313887786865234,0.0003,520,1981.979754638672,-7.152557373046875e-06,-0.03229586286470294,-433.5468676860464,76.59302325581395,,
54,0,9674,6912,1673.87890625,0.0038582096,0.2,0.00234375,-10.312078285217286,0.0003,530,3095.8498657226564,4.76837158203125e-07,-0.026160134002566338,-433.35244163636366,76.63636363636364,,
55,0,9755,7040,1437.737548828125,0.0043205353,0.2,0.00390625,-10.300730514526368,0.0003,540,3027.8745849609377,4.589557647705078e-06,-0.02835131883621216,-433.2060486741574,76.68539325842697,,
,,,7168,1131.0322265625,0.011190899,0.2,0.0375,-10.303636598587037,0.0003,550,2404.0297424316404,-1.8477439880371094e-05,-0.03921005446463823,,,167.2,-270.0066962
56,0,10162,7168,,,,,,,,,,,-432.9402653076924,76.94505494505495,,
57,0,10259,7296,1058.7557373046875,0.0051040063,0.2,0.01015625,-10.311717510223389,0.0003,560,2529.951806640625,-1.6689300537109375e-06,-0.02737816208973527,-432.72519054838716,77.04301075268818,,
