time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/loss,train/clip_fraction,train/n_updates,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/entropy_loss,train/approx_kl,train/explained_variance,eval/mean_ep_length,eval/mean_reward
4096,,,,,,202.18289184570312,0.225,310,387.2389831542969,-0.07046395856887103,0.0003,0.2,-8.977946376800537,0.029280478,-1.1920928955078125e-07,400.0,-305.7849924
4096,0,-288.25110181632647,75.6734693877551,13831,32,,,,,,,,,,,,
4224,0,-288.25110181632647,75.6734693877551,13940,33,188.87107849121094,0.14453125,320,395.30884246826173,-0.06432948485016823,0.0003,0.2,-8.93687686920166,0.023509227,2.980232238769531e-07,,
4352,0,-282.88633944230764,77.6923076923077,14058,34,141.36663818359375,0.26640625,330,254.80011596679688,-0.07487658699974417,0.0003,0.2,-8.839034986495971,0.037011117,-5.960464477539062e-07,,
4480,0,-283.8210135094339,79.77358490566037,14187,35,113.42134094238281,0.29609375,340,234.51774139404296,-0.0822154332883656,0.0003,0.2,-8.862660455703736,0.042605583,-2.384185791015625e-07,,
4608,,,,,,126.0213394165039,0.23125,350,293.4443664550781,-0.07394754239358008,0.0003,0.2,-8.84537215232849,0.032136515,3.5762786865234375e-07,400.0,-306.04608700000006
4608,0,-284.4803321296296,81.85185185185185,15241,36,,,,,,,,,,,,
4736,0,-284.4803321296296,81.85185185185185,15345,37,264.40338134765625,0.26640625,360,513.7599853515625,-0.06840382032096386,0.0003,0.2,-8.770549535751343,0.03715558,5.960464477539063e-08,,
4864,0,-284.4803321296296,81.85185185185185,15429,38,165.4125518798828,0.1703125,370,327.9040023803711,-0.06465193517506122,0.0003,0.2,-8.606333875656128,0.022949101,-2.384185791015625e-07,,
4992,0,-284.4803321296296,81.85185185185185,15511,39,92.15998077392578,0.26171875,380,208.02577590942383,-0.07333150841295719,0.0003,0.2,-8.409324598312377,0.03874787,1.7881393432617188e-07,,
5120,,,,,,95.64981079101562,0.21640625,390,208.4050308227539,-0.0784653169568628,0.0003,0.2,-8.278756475448608,0.03680799,-1.1920928955078125e-07,400.0,-304.3530886
5120,0,-284.96887418181814,83.74545454545455,16439,40,,,,,,,,,,,,
5248,0,-285.4983299285714,85.94642857142857,16523,41,96.89000701904297,0.271875,400,181.02573776245117,-0.07572056073695421,0.0003,0.2,-8.166117238998414,0.046037875,2.980232238769531e-07,,
5376,0,-285.4983299285714,85.94642857142857,16611,42,69.17574310302734,0.24609375,410,150.13726806640625,-0.07485311701893807,0.0003,0.2,-8.167565393447877,0.03855186,6.556510925292969e-07,,
5504,0,-285.83780077192984,88.71929824561404,16694,43,130.9114532470703,0.22265625,420,272.1663284301758,-0.0645774240605533,0.0003,0.2,-8.117460441589355,0.037815664,-7.152557373046875e-07,,
5632,,,,,,76.46761322021484,0.23359375,430,166.2242057800293,-0.06941530760377645,0.0003,0.2,-8.129762744903564,0.033341683,0.0,400.0,-308.17136139999997
5632,0,-286.6399333965517,91.37931034482759,17628,44,,,,,,,,,,,,
5760,0,-286.6399333965517,91.37931034482759,17722,45,88.43452453613281,0.290625,440,187.01180114746094,-0.06612202897667885,0.0003,0.2,-8.126862144470214,0.038453266,0.0,,
5888,0,-286.6399333965517,91.37931034482759,17808,46,153.3020477294922,0.19921875,450,288.4116928100586,-0.06086531477048993,0.0003,0.2,-8.026796698570251,0.031333502,-1.1920928955078125e-07,,
6016,0,-286.6399333965517,91.37931034482759,17893,47,98.66985321044922,0.125,460,215.20140228271484,-0.05694464878179133,0.0003,0.2,-7.975727152824402,0.022392696,-1.0728836059570312e-06,,
6144,,,,,,99.05848693847656,0.19453125,470,186.94976959228515,-0.06288615465164185,0.0003,0.2,-7.910059595108033,0.029423233,-8.344650268554688e-07,400.0,-290.5249642
6144,0,-287.5253194,96.5,18830,48,,,,,,,,,,,,
6272,0,-287.5253194,96.5,18925,49,62.1540412902832,0.36328125,480,127.30137977600097,-0.08869357351213694,0.0003,0.2,-7.7264719247818,0.07047851,0.0,,
6400,0,-288.26148872131154,98.72131147540983,19005,50,103.92901611328125,0.16796875,490,235.35568313598634,-0.05827379245311022,0.0003,0.2,-7.561458015441895,0.02502311,1.1920928955078125e-07,,
6528,0,-288.6635842580646,101.01612903225806,19089,51,63.0446891784668,0.30546875,500,126.57705612182617,-0.07507082652300597,0.0003,0.2,-7.3325742244720455,0.055359975,0.0,,
6656,,,,,,75.25416564941406,0.275,510,155.3266300201416,-0.0706822881475091,0.0003,0.2,-7.275937557220459,0.044500783,0.0,400.0,-305.9540518
6656,0,-285.7408086666667,101.3015873015873,20090,52,,,,,,,,,,,,
6784,0,-285.7408086666667,101.3015873015873,20161,53,57.54594039916992,0.14375,520,116.41447830200195,-0.05611151400953531,0.0003,0.2,-7.311311388015747,0.023215523,-2.384185791015625e-07,,
6912,0,-285.7408086666667,101.3015873015873,20243,54,48.81296920776367,0.1953125,530,101.78144187927246,-0.0733339144848287,0.0003,0.2,-7.273295450210571,0.030988064,3.5762786865234375e-07,,
