time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,rollout/ep_len_mean,time/total_timesteps,train/kl_divergence_loss,train/policy_objective,train/is_line_search_success,train/learning_rate,train/value_loss,train/n_updates,train/explained_variance,eval/mean_ep_length,eval/mean_reward
14047,-12.751932430000002,0,38,5.71,4864,0.23339125514030457,0.6100590229034424,1.0,0.001,157.0156219482422,37,-3.337860107421875e-06,,
14230,-11.306466010000001,0,39,5.62,4992,0.3302929699420929,0.5972794890403748,1.0,0.001,134.8510299682617,38,-2.1457672119140625e-06,,
,,,,,5120,0.2456180304288864,0.5871191024780273,1.0,0.001,140.2011978149414,39,-1.6689300537109375e-06,82.0,-16.089124599999998
14888,-11.32066975,0,40,5.81,5120,,,,,,,,,
15081,-11.01424381,0,41,6.02,5248,0.17610439658164978,0.2922987937927246,1.0,0.001,148.37060089111327,40,-1.3113021850585938e-06,,
15245,-11.28294792,0,42,6.16,5376,0.2873297333717346,0.6674333810806274,1.0,0.001,121.58506851196289,41,-1.9073486328125e-06,,
15429,-9.933217719999998,0,43,5.84,5504,0.205528125166893,0.47008398175239563,1.0,0.001,133.83239288330077,42,-1.9073486328125e-06,,
,,,,,5632,0.33391791582107544,0.4598264694213867,1.0,0.001,116.09955520629883,43,-1.3113021850585938e-06,4.0,-5.8369164
15644,-10.488755569999999,0,44,6.0,5632,,,,,,,,,
15834,-10.509191899999998,0,45,5.65,5760,0.31200236082077026,0.42059239745140076,1.0,0.001,117.89691390991212,44,-1.1920928955078125e-06,,
16011,-10.657434599999998,0,46,5.39,5888,0.13348160684108734,0.30203723907470703,1.0,0.001,121.91952285766601,45,-2.2649765014648438e-06,,
16177,-10.439923689999999,0,47,5.2,6016,0.32036975026130676,0.5274314880371094,1.0,0.001,110.61541061401367,46,-1.9073486328125e-06,,
,,,,,6144,0.23141321539878845,0.30694955587387085,1.0,0.001,115.489697265625,47,-2.6226043701171875e-06,2.2,-5.7972126
16396,-10.0886582,0,48,4.67,6144,,,,,,,,,
16630,-9.98370321,0,49,4.33,6272,0.49467629194259644,0.7521083354949951,1.0,0.001,113.68238754272461,48,-2.86102294921875e-06,,
16834,-9.9505378,0,50,4.31,6400,0.3159187138080597,0.28921300172805786,1.0,0.001,108.12825775146484,49,-2.1457672119140625e-06,,
17056,-10.14076594,0,51,4.27,6528,0.21771888434886932,0.3430817127227783,1.0,0.001,100.2884147644043,50,-1.0728836059570312e-06,,
,,,,,6656,0.30279776453971863,0.30090200901031494,1.0,0.001,116.86838150024414,51,-5.960464477539062e-07,4.6,-5.56849
17305,-10.33295383,0,52,4.6,6656,,,,,,,,,
17560,-10.254850780000002,0,53,4.87,6784,0.36457788944244385,0.6196230053901672,1.0,0.001,87.95185470581055,52,-1.1920928955078125e-07,,
17818,-9.576847960000002,0,54,4.62,6912,0.44686055183410645,0.38937872648239136,1.0,0.001,82.82788314819337,53,1.7881393432617188e-07,,
18092,-9.42294281,0,55,4.58,7040,0.24451622366905212,0.4239659011363983,1.0,0.001,92.51702499389648,54,1.4901161193847656e-06,,
,,,,,7168,0.21854257583618164,0.3926087021827698,1.0,0.001,79.40212936401367,55,1.4901161193847656e-06,3.2,-6.531090400000001
18413,-8.174248830000002,0,56,3.77,7168,,,,,,,,,
18694,-7.77872498,0,57,3.62,7296,0.29541826248168945,0.43903064727783203,1.0,0.001,92.20200576782227,56,2.4437904357910156e-06,,
18989,-7.26022212,0,58,3.41,7424,0.26852303743362427,0.3487585783004761,1.0,0.001,80.70921630859375,57,2.562999725341797e-06,,
19284,-7.05446093,0,59,3.28,7552,0.27959802746772766,0.292524516582489,1.0,0.001,89.4413688659668,58,7.927417755126953e-06,,
,,,,,7680,0.35023486614227295,0.32935830950737,1.0,0.001,79.50888137817383,59,8.106231689453125e-06,3.0,-4.978245200000001
19574,-6.95843139,0,60,3.29,7680,,,,,,,,,
19831,-6.9769567,0,61,3.26,7808,0.2814294695854187,0.3078004717826843,1.0,0.001,82.32056274414063,60,8.285045623779297e-06,,
20063,-6.7282777099999995,0,62,3.32,7936,0.24383333325386047,0.2884330153465271,1.0,0.001,76.84668731689453,61,1.1861324310302734e-05,,
20328,-6.58628975,0,63,3.21,8064,0.3877452611923218,0.29503029584884644,1.0,0.001,74.90026550292968,62,2.193450927734375e-05,,
,,,,,8192,0.42720556259155273,0.10237018018960953,1.0,0.001,68.12700958251953,63,0.005109906196594238,2.0,-5.971897
20652,-7.08670031,0,64,3.09,8192,,,,,,,,,
20972,-7.69342187,0,65,2.99,8320,0.2501673698425293,0.2941895127296448,1.0,0.001,58.17881546020508,64,0.003452777862548828,,
21319,-7.302203249999999,0,66,2.72,8448,0.45239511132240295,0.5400364398956299,1.0,0.001,57.21163787841797,65,9.018182754516602e-05,,
21657,-6.958617959999999,0,67,2.66,8576,0.4301595091819763,0.3922276198863983,1.0,0.001,54.1087589263916,66,8.159875869750977e-05,,
,,,,,8704,0.3257685899734497,0.22039979696273804,1.0,0.001,48.41835594177246,67,0.00013321638107299805,2.0,-6.1280108
22035,-6.92900984,0,68,2.67,8704,,,,,,,,,
22400,-6.7447645099999995,0,69,2.56,8832,0.25241798162460327,0.33042222261428833,1.0,0.001,35.22613182067871,68,0.00028210878372192383,,
22762,-6.68195963,0,70,2.74,8960,0.3855692744255066,0.3398205041885376,1.0,0.001,25.013596534729004,69,0.00010544061660766602,,
23135,-6.867225500000001,0,71,2.81,9088,0.17075079679489136,0.17068690061569214,1.0,0.001,23.717626762390136,70,7.832050323486328e-05,,
,,,,,9216,0.2610775828361511,0.2150786817073822,1.0,0.001,19.792814254760742,71,7.808208465576172e-06,2.0,-6.008244799999999
23549,-6.8579634800000004,0,72,2.46,9216,,,,,,,,,
23929,-6.41885476,0,73,2.33,9344,0.4032360911369324,0.6645870804786682,1.0,0.001,18.846774864196778,72,-3.135204315185547e-05,,
24325,-6.242194629999999,0,74,2.19,9472,0.3457089960575104,0.12781047821044922,1.0,0.001,16.745057678222658,73,-4.9233436584472656e-05,,
24727,-6.5070779,0,75,2.18,9600,0.2873705327510834,0.2929738759994507,1.0,0.001,15.804029083251953,74,-5.6862831115722656e-05,,
,,,,,9728,0.18435485661029816,0.1904488205909729,1.0,0.001,15.913219547271728,75,1.3828277587890625e-05,2.0,-6.1285138
25188,-6.59808772,0,76,2.19,9728,,,,,,,,,
25623,-6.68434121,0,77,2.3,9856,0.3500531017780304,0.28606903553009033,1.0,0.001,12.98151683807373,76,8.511543273925781e-05,,
26048,-6.92848612,0,78,2.33,9984,0.421159952878952,0.008653584867715836,1.0,0.001,13.884134197235108,77,0.00014716386795043945,,
26475,-6.79249407,0,79,2.27,10112,0.42693543434143066,0.13170258700847626,1.0,0.001,15.174650192260742,78,0.0002269148826599121,,
